title	score
Are You There God? It's Me, Margaret	1.0
Marley and Me: Life and Love With the World's Worst Dog	1.0
Mindset: The New Psychology of Success	2.0
Five Point Someone	1.0
The Ultimate Hitchhiker's Guide to the Galaxy	5.0
Pet Sematary	1.0
1984	1.0
Intensity	1.0
Redwall (Redwall, #1)	2.0
The Long Walk	2.0
Tropic of Cancer	3.0
The Divine Comedy	2.0
The God of Small Things	1.0
Catch-22 (Catch-22, #1)	5.0
The Power of Now: A Guide to Spiritual Enlightenment	1.0
On the Beach	1.0
Fingersmith	1.0
Guards! Guards! (Discworld, #8)	3.0
A Storm of Swords (A Song of Ice and Fire, #3)	1.0
Velocity	1.0
The Things They Carried	1.0
The Coldest Winter Ever	1.0
The Dark Half	1.0
The Silver Chair (Chronicles of Narnia, #4)	1.0
A Game of Thrones (A Song of Ice and Fire, #1)	2.0
The Hobbit	1.0
Y: The Last Man, Vol. 4: Safeword (Y: The Last Man, #4)	3.0
The Clan of the Cave Bear (Earth's Children, #1)	1.0
Holes (Holes, #1)	4.0
The Picture of Dorian Gray	4.0
The Quickie	1.0
The History of Love	4.0
Mein Kampf	1.0
The Black Swan: The Impact of the Highly Improbable	5.0
Murder on the Orient Express (Hercule Poirot, #10)	1.0
Alice's Adventures in Wonderland & Through the Looking-Glass	2.0
James and the Giant Peach	3.0
Gulliver's Travels	1.0
Coraline	1.0
I Hope They Serve Beer in Hell (Tucker Max, #1)	5.0
Pride and Prejudice	1.0
Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon	1.0
Dracula	1.0
Eragon (The Inheritance Cycle, #1)	3.0
Misery	1.0
The Call of the Wild	1.0
The Kite Runner	1.0
The Fountainhead	1.0
Angels & Demons  (Robert Langdon, #1)	1.0
Gone with the Wind	1.0
Rich Dad, Poor Dad	1.0
Crime and Punishment	1.0
The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5)	1.0
Go Fetch! (Magnus Pack, #2)	3.0
Odd Thomas (Odd Thomas, #1)	1.0
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)	1.0
Kafka on the Shore	3.0
Holy Bible: King James Version	1.0
Horns	2.0
The Short Second Life of Bree Tanner (Twilight, #3.5)	1.5
The Heroes (First Law World, #5)	1.0
Inside Scientology: The Story of America's Most Secretive Religion	3.0
Shatter Me (Shatter Me, #1)	2.0
The Darkest Minds (The Darkest Minds, #1)	2.0
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)	2.0
Eleanor & Park	1.0
Avatar: The Last Airbender: The Promise, Part 1 (The Promise, #1)	1.0
Keeper of the Lost Cities (Keeper of the Lost Cities, #1)	1.0
Let's Pretend This Never Happened: A Mostly True Memoir	4.0
Winter (The Lunar Chronicles, #4)	1.0
Slammed (Slammed, #1)	3.0
Salvage	1.0
The 5th Wave (The 5th Wave, #1)	2.0
Fairest (An Unfortunate Fairy Tale, #2)	1.0
How to Love	2.0
The Goldfinch	1.0
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban	1.0
Ruby	1.0
After (After, #1)	1.0
Finding Cinderella (Hopeless, #2.5)	1.0
Percy Jackson's Greek Gods	3.0
Uprooted	1.0
Binti (Binti, #1)	1.0
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis	1.0
Iron Cast	3.0
Call Me Daddy	2.0
A Wizard of Earthsea (Earthsea Cycle, #1)	1.0
The Story of Ferdinand	1.0
Robinson Crusoe	3.0
A Confederacy of Dunces	3.0
The Tombs of Atuan (Earthsea Cycle, #2)	1.0
The Total Money Makeover: A Proven Plan for Financial Fitness	1.0
Moby-Dick or, The Whale	4.0
Eclipse (Twilight, #3)	2.0
The Dispossessed	1.0
Alice in Wonderland	1.0
Breaking Dawn (Twilight, #4)	2.0
The Color Purple	1.0
Under the Dome	1.0
The Iron King (The Iron Fey, #1)	2.0
Pete the Cat: I Love My White Shoes	3.0
Twilight: The Graphic Novel, Vol. 1 (Twilight: The Graphic Novel, #1)	2.0
The Adventures of Tom Sawyer	1.0
Twilight (Twilight, #1)	2.0
The Magnolia Story	1.0
The Passage (The Passage, #1)	1.0
