title	score
The Game: Penetrating the Secret Society of Pickup Artists	5.0
The Ultimate Hitchhiker's Guide to the Galaxy	1.0
1984	4.0
The Divine Comedy	5.0
The Coldest Winter Ever	1.0
Lolita	5.0
Fahrenheit 451	3.0
Grendel	3.0
Watership Down (Watership Down, #1)	1.0
The Hobbit	2.0
The Quickie	1.0
A Brief History of Time	1.0
The Name of the Wind (The Kingkiller Chronicle, #1)	1.0
Misery	2.0
The Fountainhead	4.0
Crime and Punishment	3.0
I, Claudius (Claudius, #1)	1.0
The Memoirs of Sherlock Holmes	1.0
Horns	3.0
The Complete Sherlock Holmes	1.0
The Way of Kings (The Stormlight Archive, #1)	1.0
Slammed (Slammed, #1)	5.0
Binti (Binti, #1)	1.0
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	3.0
The Adventures of Sherlock Holmes	1.0
The Prince	4.0
The Hunger Games (The Hunger Games, #1)	4.0
The Secret Garden	3.0
The 48 Laws of Power	3.0
Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living	2.0
The God Delusion	5.0
The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures	2.0
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10	3.0
I Feel Bad about My Neck: And Other Thoughts on Being a Woman	1.0
Bury Your Dead (Chief Inspector Armand Gamache, #6)	1.0
Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity	1.0
The School for Good and Evil (The School for Good and Evil, #1)	3.0
Smart, Sexy and Secretive (The Reed Brothers, #2)	1.0
Truth or Beard (Winston Brothers, #1)	1.0
Naamah's Kiss (Naamah Trilogy, #1)	4.0
