title	score
The Ultimate Hitchhiker's Guide to the Galaxy	5.0
Pet Sematary	5.0
The Divine Comedy	1.0
The Magician's Nephew (Chronicles of Narnia, #6)	3.0
The Last Battle (Chronicles of Narnia, #7)	3.0
A Storm of Swords (A Song of Ice and Fire, #3)	5.0
The Coldest Winter Ever	1.0
The Silver Chair (Chronicles of Narnia, #4)	3.0
Holes (Holes, #1)	3.0
The Quickie	1.0
The Good Earth (House of Earth, #1)	2.0
Misery	1.0
A Clash of Kings  (A Song of Ice and Fire, #2)	5.0
The Kite Runner	2.0
Prince Caspian (Chronicles of Narnia, #2)	3.0
The Voyage of the Dawn Treader (Chronicles of Narnia, #3)	3.0
Crime and Punishment	1.0
A Farewell to Arms	2.0
Horns	3.0
Slammed (Slammed, #1)	5.0
Binti (Binti, #1)	1.0
The Shining	5.0
Matilda	3.0
The Horse and His Boy (Chronicles of Narnia, #5)	3.0
The Curious Incident of the Dog in the Night-Time	4.0
Fifty Shades of Grey (Fifty Shades, #1)	4.0
Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)	4.0
Rodrick Rules (Diary of a Wimpy Kid, #2)	4.0
The Last Straw (Diary of a Wimpy Kid, #3)	4.0
Dog Days (Diary of a Wimpy Kid, #4)	4.0
Naamah's Kiss (Naamah Trilogy, #1)	3.0
