title	score
The Green Mile	4.0
Leaves of Grass	1.0
Where the Sidewalk Ends	1.0
A Separate Peace	1.0
The Gunslinger	3.5
Steppenwolf	3.0
Green Eggs and Ham	1.0
Five Point Someone	1.0
Don Quixote	1.5
The Ultimate Hitchhiker's Guide to the Galaxy	1.0
The Client	1.5
The Caves of Steel (Robot #1)	1.0
Pet Sematary	5.0
The Secret of the Old Clock (Nancy Drew, #1)	4.0
1984	5.0
Childhood's End	2.0
The Lottery and Other Stories	5.0
The Great Gatsby	2.3333333333
Night (The Night Trilogy #1)	4.5
The Cat in the Hat	1.0
Intensity	5.0
As I Lay Dying	5.0
Redwall (Redwall, #1)	1.0
Snow Crash	3.0
The Long Walk	4.0
The Sun Also Rises	3.0
The Magic Mountain	1.5
Atlas Shrugged	4.0
The Miraculous Journey of Edward Tulane	1.0
We Have Always Lived in the Castle	5.0
The Master and Margarita	5.0
Tortilla Flat	1.5
On a Pale Horse (Incarnations of Immortality, #1)	3.0
Ask the Dust (Arturo Bandini, #3)	2.0
Ringworld (Ringworld, #1)	1.0
A Lesson Before Dying	1.0
Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)	2.0
On the Beach	5.0
Paradise Lost	1.0
Wise Blood	4.5
The Moon is a Harsh Mistress	1.0
The Last Battle (Chronicles of Narnia, #7)	3.0
Blood Meridian, or the Evening Redness in the West	5.0
The Illustrated Man	3.0
Birdsong	5.0
Velocity	5.0
Something Wicked This Way Comes (Green Town, #2)	4.0
The Coldest Winter Ever	3.0
Lolita	5.0
Fahrenheit 451	4.3333333333
Tell Me Your Dreams	3.0
Grendel	5.0
Watership Down (Watership Down, #1)	2.0
Hyperion (Hyperion Cantos, #1)	3.0
Life of Pi	2.6666666667000003
The End of Eternity	1.0
I Know Why the Caged Bird Sings	1.0
Half Magic (Tales of Magic, #1)	1.0
A Game of Thrones (A Song of Ice and Fire, #1)	1.0
The Notebook (The Notebook, #1)	1.0
The Hobbit	1.5
The Great Hunt (Wheel of Time, #2)	2.0
The Clan of the Cave Bear (Earth's Children, #1)	3.0
Their Eyes Were Watching God	1.0
Holes (Holes, #1)	1.3333333333000001
Slaughterhouse-Five	5.0
On the Road	1.0
The Phantom Tollbooth	1.0
Foundation (Foundation #1)	2.0
I, Robot (Robot #0.1)	2.0
Legend (The Drenai Saga, #1)	4.0
The Picture of Dorian Gray	3.0
The Quickie	1.0
All the Pretty Horses (The Border Trilogy, #1)	5.0
In Cold Blood	2.0
Eleven Minutes	1.0
American Gods (American Gods, #1)	3.0
Tuesdays with Morrie	1.0
The Eye of the World (Wheel of Time, #1)	2.0
The Mote in God's Eye	1.0
I Am Legend and Other Stories	5.0
The Good Earth (House of Earth, #1)	1.0
The Metamorphosis	2.0
Alice's Adventures in Wonderland & Through the Looking-Glass	1.0
James and the Giant Peach	2.0
Gulliver's Travels	1.0
Uncle Tom's Cabin	5.0
The Name of the Wind (The Kingkiller Chronicle, #1)	2.0
Roots: The Saga of an American Family	1.0
The Giver (The Giver, #1)	2.6666666667000003
Of Human Bondage	2.5
The Five People You Meet in Heaven	1.0
East of Eden	1.0
Great Expectations	3.5
Sphere	2.0
Thinner	4.0
Coraline	4.5
Little House on the Prairie (Little House, #2)	1.0
The Witching Hour (Lives of the Mayfair Witches, #1)	4.0
The Grapes of Wrath	1.5
The Glass Castle	1.0
Swan Song	2.0
Bleak House	3.0
The Two Towers (The Lord of the Rings, #2)	3.0
The Return of the King (The Lord of the Rings, #3)	3.0
The Catcher in the Rye	2.0
Death on the Nile (Hercule Poirot, #17)	2.3333333333
And Then There Were None	4.5
Pride and Prejudice	1.5
A Christmas Carol	2.5
Hunger	4.0
A Million Little Pieces	5.0
A Walk to Remember	1.0
The Queen of the Damned (The Vampire Chronicles, #3)	4.0
Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon	1.0
Dracula	4.3333333333
Eragon (The Inheritance Cycle, #1)	1.5
Choke	5.0
The War of the Worlds	4.0
The Heretic's Daughter	3.0
Dear John	1.0
Misery	4.0
Little Women (Little Women, #1)	1.0
The Call of the Wild	2.0
Bag of Bones	4.5
One Hundred Years of Solitude	1.0
The Kite Runner	1.0
Tess of the D'Urbervilles	3.0
The Fountainhead	2.0
Flowers for Algernon	2.0
Angels & Demons  (Robert Langdon, #1)	2.0
The Road	4.0
Gone with the Wind	1.5
Girl with a Pearl Earring	1.0
Rich Dad, Poor Dad	1.0
Jurassic Park (Jurassic Park, #1)	2.0
Crime and Punishment	4.0
Dune (Dune Chronicles #1)	2.0
The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5)	2.0
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	1.0
I, Claudius (Claudius, #1)	3.0
Odd Thomas (Odd Thomas, #1)	5.0
The Martian Chronicles	2.0
A Farewell to Arms	3.0
The Help	2.0
