title	score
The Game: Penetrating the Secret Society of Pickup Artists	4.0
Second Foundation (Foundation #3)	4.0
The Ultimate Hitchhiker's Guide to the Galaxy	1.0
The Caves of Steel (Robot #1)	4.0
The Long Walk	1.0
Wizard and Glass	1.0
The Divine Comedy	1.0
The Andromeda Strain	1.0
Go Tell It on the Mountain	2.0
The Coldest Winter Ever	1.0
Lolita	1.0
Their Eyes Were Watching God	2.0
Slaughterhouse-Five	2.0
Foundation and Empire (Foundation #2)	4.0
Foundation (Foundation #1)	4.0
I, Robot (Robot #0.1)	4.0
The Waste Lands	1.0
The Quickie	1.0
In Cold Blood	2.0
American Gods (American Gods, #1)	1.0
The Drawing of the Three	1.0
A Brief History of Time	4.5
The Good Earth (House of Earth, #1)	5.0
Contact	4.0
Sphere	1.0
Dracula	1.0
Eragon (The Inheritance Cycle, #1)	2.0
The War of the Worlds	1.0
Misery	1.0
Cosmos	2.5
Gone with the Wind	1.0
Rich Dad, Poor Dad	3.5
Jurassic Park (Jurassic Park, #1)	1.0
Crime and Punishment	3.0
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)	2.0
The Memoirs of Sherlock Holmes	4.0
Horns	1.0
The Complete Sherlock Holmes	4.0
The Grand Design	4.0
Slammed (Slammed, #1)	1.0
Sapiens: A Brief History of Humankind	4.0
Binti (Binti, #1)	1.0
World War Z: An Oral History of the Zombie War	1.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	5.0
A Drink Before the War (Kenzie & Gennaro, #1)	1.0
The Tao of Pooh	2.0
The Four Agreements: A Practical Guide to Personal Freedom	2.0
The Count of Monte Cristo	1.0
Beloved	1.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate	5.0
Interview with the Vampire (The Vampire Chronicles, #1)	1.0
Goodnight Moon	1.0
The Adventures of Sherlock Holmes	4.0
The Prince	3.0
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	1.0
The Audacity of Hope: Thoughts on Reclaiming the American Dream	1.5
The Bluest Eye	2.0
How to Win Friends and Influence People	4.6666666667
The Total Money Makeover: A Proven Plan for Financial Fitness	5.0
The Merchant of Venice	2.0
The Dead Zone	1.0
Breakfast of Champions	1.0
Alice in Wonderland	1.5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	1.0
The Art of War	1.0
The Fellowship of the Ring (The Lord of the Rings, #1)	2.0
Song of Solomon	1.0
The Color Purple	2.0
Flowers in the Attic (Dollanganger, #1)	1.0
The Diary of a Young Girl	4.0
Jonathan Strange & Mr Norrell	1.0
Lisey's Story	1.0
Black Beauty	2.0
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	2.0
David Copperfield	1.0
Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime	1.3333333333000001
Harry Potter: The Prequel (Harry Potter, #0.5)	1.0
Steve Jobs	2.0
Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War	1.0
The Adventures of Tom Sawyer	1.0
Killing Patton: The Strange Death of World War II's Most Audacious General	1.0
Men Are from Mars, Women Are from Venus	3.0
Dreams from My Father: A Story of Race and Inheritance	1.5
The Yiddish Policemen's Union	1.0
Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)	1.0
The Last Command (Star Wars: The Thrawn Trilogy, #3)	1.0
Dark Force Rising (Star Wars: The Thrawn Trilogy, #2)	1.0
Fruits Basket, Vol. 1	1.0
The Thirteenth Tale	1.0
The Sword of Shannara (The Original Shannara Trilogy, #1)	1.0
Heir to the Empire (Star Wars: The Thrawn Trilogy #1)	1.0
Think and Grow Rich	4.5
The Elfstones of Shannara  (The Original Shannara Trilogy, #2)	1.0
The Amazing Adventures of Kavalier & Clay	1.0
Aftermath (Star Wars: Aftermath, #1)	1.0
The Force Awakens (Star Wars: Novelizations #7)	1.0
Find Her (Detective D.D. Warren, #8)	1.0
What Happened	1.0
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny	4.5
On Writing: A Memoir of the Craft	5.0
The 48 Laws of Power	3.5
Black Like Me	5.0
Duma Key	1.0
Fallen (Fallen, #1)	1.0
Torment (Fallen, #2)	1.0
Passion (Fallen, #3)	1.0
Full Dark, No Stars	1.0
Rapture (Fallen, #4)	1.0
The Wind Through the Keyhole	1.0
Fallen in Love (Fallen, #3.5)	1.0
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar	2.0
Insider (Exodus End, #1)	1.0
The Magnolia Story	4.0
Then Again	1.0
Influence: The Psychology of Persuasion	5.0
The God Delusion	5.0
Predictably Irrational: The Hidden Forces That Shape Our Decisions	5.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life	5.0
The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results	5.0
The Secret (The Secret, #1)	4.0
Thinking, Fast and Slow	2.0
