title	score
Where the Red Fern Grows	1.0
Marley and Me: Life and Love With the World's Worst Dog	3.0
Of Mice and Men	1.0
Green Eggs and Ham	5.0
Five Point Someone	4.0
The Ultimate Hitchhiker's Guide to the Galaxy	5.0
The Caves of Steel (Robot #1)	1.0
Pet Sematary	1.0
The Midwife's Apprentice	5.0
The Pearl	1.0
The Great Gatsby	1.0
The Cat in the Hat	5.0
Intensity	1.0
The Long Walk	1.0
A Walk in the Woods	1.5
The A.B.C. Murders (Hercule Poirot, #13)	2.0
The Miraculous Journey of Edward Tulane	1.0
Things Fall Apart (The African Trilogy, #1)	1.0
The Twits	3.0
Looking for Alaska	1.0
On the Beach	1.0
The Magician's Nephew (Chronicles of Narnia, #6)	2.0
The Last Battle (Chronicles of Narnia, #7)	1.5
Velocity	1.0
The Coldest Winter Ever	1.5
Lolita	1.0
The End of Eternity	1.0
The Silver Chair (Chronicles of Narnia, #4)	2.0
The Notebook (The Notebook, #1)	1.0
Timeline	1.0
The Hobbit	1.0
Holes (Holes, #1)	4.0
Slaughterhouse-Five	4.0
Foundation (Foundation #1)	1.0
Legend (The Drenai Saga, #1)	1.0
The Quickie	1.0
The Joy Luck Club	3.0
American Gods (American Gods, #1)	2.5
The Mote in God's Eye	1.0
A Brief History of Time	1.0
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible	1.0
Peony in Love	1.0
James and the Giant Peach	3.0
Gulliver's Travels	2.0
A Moveable Feast	1.0
The Giver (The Giver, #1)	2.0
Sphere	1.0
Coraline	1.5
Little House on the Prairie (Little House, #2)	1.0
The Witching Hour (Lives of the Mayfair Witches, #1)	1.0
The Grapes of Wrath	1.0
The Glass Castle	1.0
The Catcher in the Rye	1.0
The Lucky One	1.0
A Million Little Pieces	1.0
The Queen of the Damned (The Vampire Chronicles, #3)	1.0
Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon	1.0
Dracula	1.0
Dear John	1.0
Misery	1.0
Into the Wild	1.0
Angels & Demons  (Robert Langdon, #1)	1.0
Prince Caspian (Chronicles of Narnia, #2)	2.0
The Voyage of the Dawn Treader (Chronicles of Narnia, #3)	2.0
Gone with the Wind	1.0
Rich Dad, Poor Dad	1.0
Jurassic Park (Jurassic Park, #1)	1.0
Crime and Punishment	1.0
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	4.0
Odd Thomas (Odd Thomas, #1)	1.0
A Farewell to Arms	1.0
The Help	1.0
The Memoirs of Sherlock Holmes	1.0
Holy Bible: King James Version	1.0
Open	2.0
Horns	2.0
The Short Second Life of Bree Tanner (Twilight, #3.5)	1.0
The Heroes (First Law World, #5)	1.0
Ready Player One	3.0
Eleanor & Park	3.0
Where We Belong	1.0
Let's Pretend This Never Happened: A Mostly True Memoir	4.0
This Is How You Lose Her	1.0
The Call of Cthulhu	1.0
Confess	1.0
Go Set a Watchman	1.0
Binti (Binti, #1)	3.0
World War Z: An Oral History of the Zombie War	2.0
The Giving Tree	3.0
The Firm (Penguin Readers, Level 5)	1.0
The Tao of Pooh	4.0
Fight Club	5.0
The Witches	1.0
A Wizard of Earthsea (Earthsea Cycle, #1)	1.0
The Raven	1.0
The Godfather	1.0
The Four Agreements: A Practical Guide to Personal Freedom	1.0
The Pelican Brief	1.0
Beloved	1.5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate	1.0
The Shining	1.0
Interview with the Vampire (The Vampire Chronicles, #1)	1.0
The Book Thief	1.0
A Midsummer Night's Dream	2.3333333333
A Confederacy of Dunces	4.0
Charlotte's Web	1.0
Matilda	3.0
The Street Lawyer	1.0
Goodnight Moon	2.5
The Lovely Bones	1.0
Hatchet (Brian's Saga, #1)	1.0
The BFG	4.0
The Chamber	1.0
The Tombs of Atuan (Earthsea Cycle, #2)	1.0
Peter Pan	3.0
The Outsiders	1.5
The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #17)	1.0
One for the Money (Stephanie Plum, #1)	4.0
Never Let Me Go	1.0
Wuthering Heights	1.0
City of Ashes (The Mortal Instruments, #2)	1.0
The Girl with the Dragon Tattoo (Millennium, #1)	1.0
Brokeback Mountain	1.0
A Time to Kill	1.0
Mort (Death, #1; Discworld, #4)	5.0
John Dies at the End (John Dies at the End, #1)	5.0
The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)	5.0
Macbeth	2.0
The Bluest Eye	2.0
Narrative of the Life of Frederick Douglass	1.0
The Wonderful Wizard of Oz (Oz, #1)	4.0
Pippi Longstocking	4.0
Oh, The Places You'll Go!	1.0
The Total Money Makeover: A Proven Plan for Financial Fitness	4.0
Eclipse (Twilight, #3)	1.0
Number the Stars	1.0
The Dispossessed	1.0
Charlie and the Chocolate Factory (Charlie Bucket, #1)	2.0
Breakfast of Champions	3.0
Uglies (Uglies, #1)	2.0
Alice in Wonderland	2.0
Breaking Dawn (Twilight, #4)	1.0
Harry Potter Boxset (Harry Potter, #1-7)	2.0
