title	score
The Coldest Winter Ever	1.0
The Quickie	1.0
Misery	4.0
Flowers for Algernon	2.0
Rich Dad, Poor Dad	1.0
Crime and Punishment	4.0
The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5)	4.0
Horns	3.0
Binti (Binti, #1)	1.0
One for the Money (Stephanie Plum, #1)	2.0
Harry Potter Boxset (Harry Potter, #1-7)	4.0
Flowers in the Attic (Dollanganger, #1)	3.0
Fifty Shades of Grey (Fifty Shades, #1)	4.0
Twilight / Life and Death (Twilight, #1, 1.75)	4.0
Fifty Shades Darker (Fifty Shades, #2)	4.0
Fifty Shades Freed (Fifty Shades, #3)	4.0
Fifty Shades Trilogy (Fifty Shades, #1-3)	4.0
Wicked (A Wicked Saga, #1)	4.0
Grey (Fifty Shades, #4)	4.0
Two for the Dough (Stephanie Plum, #2)	2.0
Three to Get Deadly (Stephanie Plum, #3)	2.0
Four to Score (Stephanie Plum, #4)	2.0
Wicked Appetite (Lizzy & Diesel, #1)	2.0
Sweet Home (Sweet Home, #1)	2.0
Sweet Fall (Sweet Home, #2; Carillo Boys, #1)	2.0
Sweet Hope (Sweet Home, #3; Carillo Boys, #2)	2.0
A Thousand Boy Kisses	5.0
