title	score
Where the Red Fern Grows	5.0
Naked Lunch	5.0
Alas, Babylon	5.0
1491: New Revelations of the Americas Before Columbus	2.0
A Separate Peace	3.0
Of Mice and Men	4.6
Steppenwolf	5.0
The Old Man and the Sea	5.0
Green Eggs and Ham	2.0
Don Quixote	5.0
The Ultimate Hitchhiker's Guide to the Galaxy	4.0
The Client	3.5
Pet Sematary	5.0
The Secret of the Old Clock (Nancy Drew, #1)	5.0
1984	3.5
The Midwife's Apprentice	5.0
Invisible Man	4.0
The Day of the Triffids	5.0
The Pearl	5.0
Childhood's End	1.0
The Great Gatsby	4.0
The Cat in the Hat	1.0
Snow Crash	4.0
The Sun Also Rises	5.0
A Walk in the Woods	2.0
The A.B.C. Murders (Hercule Poirot, #13)	2.0
The Magic Mountain	5.0
The Postman Always Rings Twice	5.0
The Guardian	3.5
Atlas Shrugged	5.0
The Miraculous Journey of Edward Tulane	4.0
Post Office	5.0
Cannery Row	5.0
Things Fall Apart (The African Trilogy, #1)	5.0
The Dharma Bums	2.0
The Power of Now: A Guide to Spiritual Enlightenment	1.0
The Twits	3.0
The Master and Margarita	5.0
Tortilla Flat	3.5
Looking for Alaska	4.5
Ringworld (Ringworld, #1)	3.0
Nights in Rodanthe	5.0
A Lesson Before Dying	5.0
Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)	3.0
Ham on Rye	3.0
A Feast for Crows (A Song of Ice and Fire, #4)	5.0
Midnight's Children	4.5
Go Tell It on the Mountain	3.0
The Moon is a Harsh Mistress	3.0
Blood Meridian, or the Evening Redness in the West	4.0
A Storm of Swords (A Song of Ice and Fire, #3)	5.0
The Wedding (The Notebook, #2)	4.0
Revolutionary Road	5.0
The Coldest Winter Ever	3.0
Lolita	5.0
Fahrenheit 451	2.0
Tell Me Your Dreams	3.0
The Glass Menagerie	5.0
Grendel	5.0
Watership Down (Watership Down, #1)	3.0
Call Me by Your Name	5.0
Hyperion (Hyperion Cantos, #1)	3.0
Life of Pi	5.0
I Know Why the Caged Bird Sings	5.0
The Notebook (The Notebook, #1)	3.0
The Hobbit	3.0
Light in August	4.0
The Velveteen Rabbit	1.0
Their Eyes Were Watching God	5.0
Holes (Holes, #1)	4.0
Slaughterhouse-Five	5.0
On the Road	3.0
I, Robot (Robot #0.1)	3.5
Into Thin Air: A Personal Account of the Mount Everest Disaster	5.0
The Quickie	1.0
In Cold Blood	5.0
The Joy Luck Club	5.0
American Gods (American Gods, #1)	5.0
Tuesdays with Morrie	2.3333333333
The Mote in God's Eye	3.0
I Am Legend and Other Stories	1.0
The Life and Times of the Thunderbolt Kid	5.0
Murder on the Orient Express (Hercule Poirot, #10)	4.0
Peony in Love	4.0
The Good Earth (House of Earth, #1)	5.0
The Metamorphosis	4.5
Gulliver's Travels	5.0
The Choice	5.0
A Moveable Feast	5.0
The Name of the Wind (The Kingkiller Chronicle, #1)	2.0
Roots: The Saga of an American Family	5.0
The Giver (The Giver, #1)	3.0
The Five People You Meet in Heaven	3.0
East of Eden	5.0
Great Expectations	5.0
Sphere	5.0
Coraline	5.0
Stuart Little	1.0
Little House on the Prairie (Little House, #2)	5.0
The Grapes of Wrath	5.0
A Dance with Dragons (A Song of Ice and Fire, #5)	5.0
The Glass Castle	2.0
Swan Song	5.0
The Two Towers (The Lord of the Rings, #2)	5.0
The Return of the King (The Lord of the Rings, #3)	5.0
The Catcher in the Rye	5.0
Death on the Nile (Hercule Poirot, #17)	3.0
And Then There Were None	5.0
Pride and Prejudice	3.0
Treasure Island	3.0
The Lucky One	5.0
A Walk to Remember	3.0
Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon	1.0
Dracula	5.0
Eragon (The Inheritance Cycle, #1)	3.0
The War of the Worlds	3.0
Blindness	4.0
The Heretic's Daughter	5.0
Dear John	3.0
Misery	4.5
Cosmos	1.0
Little Women (Little Women, #1)	2.0
The Call of the Wild	4.5
A Clash of Kings  (A Song of Ice and Fire, #2)	5.0
Into the Wild	5.0
Veronika Decides to Die	3.0
The Kite Runner	4.0
A Portrait of the Artist as a Young Man	5.0
The Fountainhead	2.0
Flowers for Algernon	2.0
Angels & Demons  (Robert Langdon, #1)	1.0
The Road	5.0
Gone with the Wind	4.75
Girl with a Pearl Earring	5.0
Jurassic Park (Jurassic Park, #1)	5.0
Crime and Punishment	5.0
The Book of Laughter and Forgetting	5.0
Water for Elephants	3.0
The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5)	1.0
I, Claudius (Claudius, #1)	5.0
A Farewell to Arms	5.0
The Help	4.0
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)	5.0
Frankenstein	4.75
The Strain (The Strain Trilogy, #1)	2.0
The Memoirs of Sherlock Holmes	3.0
Holy Bible: King James Version	5.0
Open	4.0
The Immortal Life of Henrietta Lacks	3.0
Horns	4.0
The Complete Sherlock Holmes	3.0
The Way of Kings (The Stormlight Archive, #1)	2.0
Safe Haven	3.0
The Short Second Life of Bree Tanner (Twilight, #3.5)	3.0
The Heroes (First Law World, #5)	5.0
Attachments	3.0
The Innocent	5.0
Ready Player One	1.0
The Fault in Our Stars	4.0
Eleanor & Park	3.0
Where We Belong	2.0
This Is How You Lose Her	3.0
A Wrinkle in Time: The Graphic Novel	5.0
A Man Called Ove	4.5
The Goldfinch	4.0
The Monogram Murders	3.0
Confess	1.0
