title	score
The Cat in the Hat	4.0
The Coldest Winter Ever	1.0
The Quickie	1.0
The Two Towers (The Lord of the Rings, #2)	1.0
The Return of the King (The Lord of the Rings, #3)	2.0
Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon	3.0
Misery	4.0
Crime and Punishment	2.0
Horns	5.0
Binti (Binti, #1)	1.0
Narrative of the Life of Frederick Douglass	1.0
Oh, The Places You'll Go!	1.0
The Shack	1.0
Harry Potter and the Deathly Hallows (Harry Potter, #7)	5.0
If You Give a Mouse a Cookie	1.0
The Fellowship of the Ring (The Lord of the Rings, #1)	2.0
Flowers in the Attic (Dollanganger, #1)	1.0
The Odyssey	1.0
Pete the Cat: I Love My White Shoes	4.5
Harry Potter: The Prequel (Harry Potter, #0.5)	3.0
Pete the Cat and His Four Groovy Buttons	5.0
The Wrath and the Dawn (The Wrath and the Dawn, #1)	3.0
The Little Friend	2.0
The Little Stranger	1.0
The Little Paris Bookshop	2.0
Love Hurts (Caged Love, #1)	3.0
Shameless	2.0
