title	score
Helter Skelter: The True Story of the Manson Murders	1.0
The Coldest Winter Ever	1.0
A is for Alibi (Kinsey Millhone, #1)	2.0
The Hobbit	1.0
The Quickie	1.0
Misery	1.0
Crime and Punishment	1.0
Horns	1.0
Binti (Binti, #1)	1.0
The Firm (Penguin Readers, Level 5)	1.0
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	1.0
One for the Money (Stephanie Plum, #1)	4.0
The Bone Collector (Lincoln Rhyme, #1)	1.0
Eclipse (Twilight, #3)	1.0
Breaking Dawn (Twilight, #4)	1.0
Harry Potter and the Deathly Hallows (Harry Potter, #7)	1.0
The Secret Garden	1.0
New Moon (Twilight, #2)	1.0
Midnight Sun (Twilight, #1.5)	1.0
You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself	1.0
