title	score
Marley and Me: Life and Love With the World's Worst Dog	2.0
Five Point Someone	4.5
Pet Sematary	1.0
Looking for Alaska	3.0
The Coldest Winter Ever	4.0
The Notebook (The Notebook, #1)	5.0
The Quickie	1.0
The Giver (The Giver, #1)	1.0
And Then There Were None	1.0
Pride and Prejudice	4.0
Treasure Island	1.0
Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon	1.5
Misery	1.0
Tess of the D'Urbervilles	2.0
Flowers for Algernon	1.0
Angels & Demons  (Robert Langdon, #1)	1.0
Gone with the Wind	4.0
Jurassic Park (Jurassic Park, #1)	1.0
Crime and Punishment	1.0
Dune (Dune Chronicles #1)	5.0
The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5)	4.0
Horns	2.0
The Short Second Life of Bree Tanner (Twilight, #3.5)	1.0
The Fault in Our Stars	5.0
Eleanor & Park	5.0
The Goldfinch	2.0
Binti (Binti, #1)	4.0
The Firm (Penguin Readers, Level 5)	1.0
Red Mars (Mars Trilogy, #1)	1.0
Rebecca	5.0
Mr. Darcy Takes a Wife: Pride and Prejudice Continues (Darcy & Elizabeth, #1)	4.0
The Shell Seekers	2.0
The Duke and I (Bridgertons, #1)	5.0
The Book Thief	1.0
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	1.0
Vanity Fair	4.0
The Handmaid's Tale	1.0
The Lovely Bones	1.0
The Girl with the Dragon Tattoo (Millennium, #1)	1.0
A Time to Kill	1.0
Hamlet	1.0
The Time Traveler's Wife	5.0
The Little Prince	1.0
The Perks of Being a Wallflower	3.0
Outlander (Outlander, #1)	4.75
Persuasion	5.0
Eclipse (Twilight, #3)	3.0
Julius Caesar	1.0
Sense and Sensibility	4.0
Uglies (Uglies, #1)	2.0
Alice in Wonderland	1.0
Breaking Dawn (Twilight, #4)	3.0
New Moon (Twilight, #2)	3.0
The Time Machine	4.0
Flowers in the Attic (Dollanganger, #1)	1.5
Romeo and Juliet	2.0
Emma	5.0
The Associate	1.0
The Curious Incident of the Dog in the Night-Time	1.0
Midnight Sun (Twilight, #1.5)	5.0
The Alchemist	5.0
Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)	5.0
Under the Dome	1.0
Winter Garden	3.0
Anna and the French Kiss (Anna and the French Kiss, #1)	5.0
I Too Had a Love Story	5.0
Twilight: The Graphic Novel, Vol. 1 (Twilight: The Graphic Novel, #1)	3.0
Gone Girl	1.0
Fifty Shades of Grey (Fifty Shades, #1)	5.0
Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny	5.0
Me Before You (Me Before You, #1)	5.0
The Martian	1.0
Inferno (Robert Langdon, #4)	1.0
The Nightingale	4.5
Half Girlfriend	5.0
Twilight / Life and Death (Twilight, #1, 1.75)	4.0
Origin (Robert Langdon, #5)	1.0
The Sun and Her Flowers	2.0
Vampire Academy (Vampire Academy, #1)	3.0
City of Bones (The Mortal Instruments, #1)	3.0
Twilight (Twilight, #1)	3.0
The Lost Symbol (Robert Langdon, #3)	1.0
Throne of Glass (Throne of Glass, #1)	3.0
My Brilliant Friend (The Neapolitan Novels #1)	2.0
Life After Life	2.0
Digital Fortress	1.0
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny	1.0
One Night at the Call Center	5.0
Voyager (Outlander, #3)	4.75
Dragonsong (Harper Hall, #1)	1.0
The Fiery Cross (Outlander, #5)	4.75
A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)	1.0
A Wind in the Door (A Wrinkle in Time Quintet, #2)	1.0
Many Waters (A Wrinkle in Time Quintet, #4)	2.0
A Breath of Snow and Ashes (Outlander, #6)	4.75
Dragonflight (Dragonriders of Pern, #1)	1.0
P.S. I Love You	5.0
An Echo in the Bone (Outlander, #7)	4.75
Dragonfly in Amber (Outlander, #2)	4.75
Drums of Autumn (Outlander, #4)	4.75
The 3 Mistakes of My Life	4.5
Will Grayson, Will Grayson	1.0
The Girl Who Played with Fire (Millennium, #2)	1.0
2 States: The Story of My Marriage	5.0
The Exile: An Outlander Graphic Novel	4.0
The Confession	1.0
Written in My Own Heart's Blood (Outlander, #8)	4.75
Fifty Shades Darker (Fifty Shades, #2)	5.0
Fifty Shades Freed (Fifty Shades, #3)	5.0
Fifty Shades Trilogy (Fifty Shades, #1-3)	5.0
Wicked (A Wicked Saga, #1)	2.0
Grey (Fifty Shades, #4)	5.0
The Woman in Cabin 10	1.0
Camino Island	1.0
Diary Of An Oxygen Thief (The Oxygen Thief Diaries #1)	2.0
The Host (The Host, #1)	3.0
Matched (Matched, #1)	5.0
Milk and Honey	2.0
See Me	5.0
Gregor the Overlander (Underland Chronicles, #1)	1.0
The Girl Next Door	1.0
The Secret (Highlands' Lairds #1)	5.0
Ransom (Highlands' Lairds, #2)	5.0
The Bride (Lairds' Fiancées, #1)	5.0
In a Dark, Dark Wood	1.0
