title	score
Where the Red Fern Grows	5.0
Green Eggs and Ham	1.0
The Midwife's Apprentice	3.0
Invisible Man	2.0
The Cat in the Hat	1.0
A Walk in the Woods	1.0
The Guardian	5.0
The Miraculous Journey of Edward Tulane	3.0
The Power of Now: A Guide to Spiritual Enlightenment	1.0
Looking for Alaska	4.4
Nights in Rodanthe	5.0
Go Tell It on the Mountain	3.0
The Wedding (The Notebook, #2)	4.5
Revolutionary Road	5.0
The Coldest Winter Ever	3.0
Tell Me Your Dreams	2.0
The Notebook (The Notebook, #1)	5.0
The Hobbit	1.0
Light in August	2.0
Jonathan Livingston Seagull	1.0
The Quickie	3.0
The Joy Luck Club	2.0
Peony in Love	3.0
Gulliver's Travels	1.0
The Choice	5.0
The Giver (The Giver, #1)	3.0
Coraline	1.0
The Grapes of Wrath	1.0
The Catcher in the Rye	4.0
The Lucky One	5.0
A Walk to Remember	3.0
Dracula	1.0
Dear John	5.0
Misery	3.0
The Kite Runner	4.0
Flowers for Algernon	3.0
Angels & Demons  (Robert Langdon, #1)	2.0
Rich Dad, Poor Dad	1.0
Crime and Punishment	4.0
The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5)	1.0
The Help	4.0
Holy Bible: King James Version	3.0
Open	2.0
Horns	4.0
Safe Haven	5.0
The Heroes (First Law World, #5)	1.0
The Fault in Our Stars	4.4
Eleanor & Park	2.5
Where We Belong	2.0
Go Set a Watchman	1.0
Binti (Binti, #1)	4.0
The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss	3.0
Two By Two	5.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	1.0
A Wizard of Earthsea (Earthsea Cycle, #1)	1.0
The Godfather	3.0
The Duke and I (Bridgertons, #1)	3.0
The Book Thief	4.0
A Confederacy of Dunces	2.0
Matilda	1.0
The Lovely Bones	4.0
The Boy in the Striped Pajamas	5.0
The Tombs of Atuan (Earthsea Cycle, #2)	1.0
The Outsiders	3.5
Sputnik Sweetheart	1.0
The Perks of Being a Wallflower	4.0
Number the Stars	5.0
The Dispossessed	2.0
Uglies (Uglies, #1)	2.0
The Tales of Beedle the Bard	2.0
The Very Hungry Caterpillar	1.0
The Color Purple	3.0
Flowers in the Attic (Dollanganger, #1)	4.0
The Bridges of Madison County	5.0
Paper Towns	3.5
The Diary of a Young Girl	4.0
The Alchemist	3.0
War and Peace	3.0
The Scarlet Letter	4.0
The Maze Runner (Maze Runner, #1)	1.0
Anna and the French Kiss (Anna and the French Kiss, #1)	1.0
Twilight: The Graphic Novel, Vol. 1 (Twilight: The Graphic Novel, #1)	1.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back	3.0
Allegiant (Divergent, #3)	2.0
Fifty Shades of Grey (Fifty Shades, #1)	1.0
Cabin Fever (Diary of a Wimpy Kid, #6)	1.0
Me Before You (Me Before You, #1)	4.3333333333
Americanah	3.0
Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)	1.0
Simon vs. the Homo Sapiens Agenda	2.0
Twilight / Life and Death (Twilight, #1, 1.75)	1.0
The Hate U Give	3.5
The Sun and Her Flowers	2.0
The Namesake	4.0
Speak	4.0
Just Kids	1.0
Vampire Academy (Vampire Academy, #1)	2.0
Twisted	1.0
City of Bones (The Mortal Instruments, #1)	2.0
Chains (Seeds of America, #1)	4.0
Interpreter of Maladies	4.0
Unaccustomed Earth	3.0
Throne of Glass (Throne of Glass, #1)	2.5
The Smartest Kids in the World: And How They Got That Way	1.0
My Brilliant Friend (The Neapolitan Novels #1)	3.0
Hopeless (Hopeless, #1)	1.0
Life After Life	4.0
The Lowland	4.0
My Absolute Darling	1.0
What I Talk About When I Talk About Running	1.0
Thirteen Reasons Why	4.3333333333
Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)	2.0
Rodrick Rules (Diary of a Wimpy Kid, #2)	1.0
The Last Straw (Diary of a Wimpy Kid, #3)	1.0
Tales from a Not-So-Fabulous Life (Dork Diaries, #1)	1.0
Will Grayson, Will Grayson	1.0
Fifty Shades Darker (Fifty Shades, #2)	2.0
Skinny	4.0
Fifty Shades Freed (Fifty Shades, #3)	2.5
To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)	1.5
Fangirl	1.0
All the Bright Places	5.0
P.S. I Still Love You (To All the Boys I've Loved Before, #2)	1.5
The Long Haul (Diary of a Wimpy Kid, #9)	1.0
Wicked (A Wicked Saga, #1)	3.0
When Breath Becomes Air	3.0
Grey (Fifty Shades, #4)	1.0
The Woman in Cabin 10	2.0
Beartown	2.0
Diary Of An Oxygen Thief (The Oxygen Thief Diaries #1)	3.0
Before I Die	5.0
The Host (The Host, #1)	1.0
Before I Fall	5.0
Matched (Matched, #1)	1.0
Vicious (Villains, #1)	3.0
Milk and Honey	5.0
It Ends with Us	4.0
See Me	2.0
Orphan Train	5.0
The Assassin and the Pirate Lord (Throne of Glass, #0.1)	3.0
The Assassin and the Desert (Throne of Glass, #0.3)	3.0
The Assassin and the Empire (Throne of Glass, #0.5)	3.0
Crown of Midnight (Throne of Glass, #2)	3.0
Heir of Fire (Throne of Glass, #3)	3.0
Amsterdam	2.0
Nick & Norah's Infinite Playlist	1.0
Boy Meets Boy	1.0
Mockingbird	5.0
A Stolen Life	5.0
Two Boys Kissing	1.0
They Both Die at the End	5.0
Dog Days (Diary of a Wimpy Kid, #4)	1.0
The Polar Express	2.0
In a Dark, Dark Wood	2.0
