title	score
1984	1.0
The Long Walk	1.0
Atlas Shrugged	1.0
On the Beach	1.0
The Coldest Winter Ever	1.0
The Hobbit	1.0
The Quickie	1.0
James and the Giant Peach	1.0
Misery	1.0
Crime and Punishment	1.0
Horns	1.0
Binti (Binti, #1)	1.0
The Radium Girls: The Dark Story of America's Shining Women	1.0
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	1.0
Winnie-the-Pooh (Winnie-the-Pooh, #1)	1.0
Animal Farm / 1984	5.0
The Secret Garden	1.0
Brave New World	1.0
The Golden Compass (His Dark Materials, #1)	1.0
The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary	1.0
We	1.0
god is Not Great: How Religion Poisons Everything	1.0
The Circle	3.0
