foodLabel	Sweet_Mean	STD	Salty_Mean	STD	Sour_Mean	STD	Bitter_Mean	STD	Umami_Mean	STD	Fat_Mean	STD
dried almond	0.5	-	0.7	-	0	-	0	-	0	-	0.7	-
canned anchovies	0.3	0.3	5.3	0.1	0.9	0.5	1.25	0.65	1.4	0.9	2.6	1.5
fried anchovies	0.05	0.05	2.7	0.1	0.05	0.05	0.8	0.3	0.45	0.25	3.7	0.1
andouille sausage	1	-	2.9	-	0.5	-	0.7	-	1.1	-	2.6	-
andouillette sausage	1.03	0.2	4.04	0.35	0.47	0.1	0.73	0.25	2.04	0.61	4.21	0.78
kir	2.99	0.36	0.02	0.02	2	0.51	0.94	0.27	0.26	0.1	0.13	0.09
martini with lemon juice	5.1	-	0	-	3.7	-	0	-	0	-	0	-
martini	1.95	0.95	0.2	0	0.35	0.35	3.4	2.6	0.1	0.1	0.45	0.45
aperitif with anise	1.7	-	0	-	0.8	-	0.8	-	0	-	0.6	-
cooked apple	3.53	0.39	0	0	2.4	0.97	0.47	0.47	0.13	0.13	1.2	0.15
apple	2.77	0.12	0.02	0.01	1.99	0.17	0.38	0.06	0.08	0.03	0.2	0.05
apple juice	3.22	0.74	0	0	1.92	0.24	0.14	0.14	0	0	0.16	0.16
stewed apple	3.04	0.16	0.06	0.02	2.03	0.2	0.57	0.12	0.09	0.03	0.36	0.08
apple turnover	2.4	0.15	0.68	0.38	1.18	0.17	0.62	0.11	0.58	0.22	1.18	0.25
dried apricot	4.4	-	0	-	2.2	-	0	-	0	-	0	-
apricot juice	3.17	0.65	0.2	0.1	3.5	1.08	0.9	0.47	0.77	0.38	0.9	0.1
stewed apricots	2.5	-	0.1	-	2.2	-	0.7	-	0.1	-	0.1	-
apricot	3.24	0.23	0.07	0.03	2.17	0.22	0.48	0.15	0.06	0.02	0.27	0.1
artichoke with vinaigrette	0.88	0.15	2.35	0.25	2.37	0.29	1.22	0.16	1.14	0.13	1.63	0.16
asparagus with mayonnaise	0.68	0.09	2.6	0.32	2.34	0.3	1.79	0.19	1.01	0.14	2.44	0.13
asparagus with vinaigrette	0.58	0.19	1.39	0.36	1.21	0.22	1.23	0.14	0.41	0.19	1.39	0.27
avocado with lemon juice	0.65	0.26	0.95	0.35	4.47	0.62	0.11	0.07	0.36	0.13	4.33	0.85
avocado with mayonnaise	0.59	0.12	2.06	0.27	1.08	0.23	0.7	0.15	0.63	0.11	3.48	0.26
avocado with tuna	2.7	-	3.3	-	1.7	-	1.1	-	1.8	-	7.3	-
Babybel cheese	0.1	0.1	2.74	0.52	0.86	0.34	0.94	0.49	0.6	0.37	2.6	0.56
stir-fried bacon	0.81	0.12	4.99	0.14	0.87	0.2	1.1	0.14	2.96	0.38	5.79	0.27
baked ham	0.34	0.14	3.16	0.3	1.03	0.26	0.56	0.26	1.39	0.22	1.9	0.21
dried banana	2.8	-	0	-	0.6	-	1.9	-	0	-	0.6	-
banana	2.88	0.16	0.03	0.01	0.97	0.14	0.56	0.08	0.2	0.06	1.96	0.15
bass with lemon juice	0.4	0.1	0.5	0.2	0.8	0	0.15	0.05	0.2	0	0.75	0.15
bavarois fruit cake	4.33	0.53	0.24	0.14	1.46	0.19	0.28	0.1	0.14	0.12	2.66	0.62
beef with gravy	0.52	0.11	2.73	0.18	1.12	0.13	0.74	0.09	1.55	0.23	2.7	0.22
roast beef 	0.55	0.07	2.75	0.15	1.26	0.15	0.49	0.06	1.29	0.1	1.95	0.13
beef bourguignon	0.58	0.14	3.17	0.29	1.17	0.15	0.67	0.2	1.6	0.35	2.88	0.46
alcohol-free beer 	0.3	-	0.1	-	1.5	-	6	-	0.1	-	0.1	-
beetroot with vinaigrette	1.6	0.21	1.55	0.31	2.21	0.42	0.78	0.21	0.55	0.16	1.37	0.17
cooked bell pepper 	1.15	0.18	2.4	0.78	1.23	0.22	1.65	0.67	0.85	0.43	2.08	0.37
marinated bell pepper 	0.85	0.15	1.45	0.05	2.85	0.05	0.6	0.5	0.3	0.3	2.45	0.25
black blood pudding	1.01	0.16	3.01	0.14	0.94	0.2	0.84	0.19	1.95	0.31	4.14	0.55
blackberries with sugar and cream	1.83	0.32	0	0	2.47	0.27	1.87	0.33	1.57	0.17	1	0.1
blackberry jam	5.63	0.77	0.23	0.12	1.97	0.52	0.77	0.03	0.4	0.4	1.43	0.44
blackcurrant 	1.1	0.4	0.2	0.1	2.95	0.85	1.5	0.7	0.5	0.4	0.2	0.1
Bleu d'Auvergne	0.11	0.08	3.33	0.29	2	0.26	1.99	0.14	1.15	0.24	4	0.11
Bleu d'Auvergne cheese with bread	0.8	0.12	4.4	0.06	1.83	0.38	3.7	0.51	0.73	0.37	5.37	0.46
Bleu de Bresse cheese	0.1	-	2.6	-	1.7	-	1.8	-	0.7	-	4.1	-
Bleu de Bresse cheese with bread	0.8	-	4	-	1.8	-	2.2	-	1.8	-	5.1	-
