title	score
Toy Story (1995)	3.5
Ace Ventura: When Nature Calls (1995)	5.0
Star Wars: Episode IV - A New Hope (1977)	3.0
Ace Ventura: Pet Detective (1994)	5.0
Forrest Gump (1994)	2.5
Four Weddings and a Funeral (1994)	3.0
Hot Shots! Part Deux (1993)	5.0
Terminator 2: Judgment Day (1991)	2.0
Fargo (1996)	1.0
Godfather, The (1972)	2.0
Monty Python's Life of Brian (1979)	4.5
Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	3.0
Army of Darkness (1993)	5.0
Terminator, The (1984)	1.0
Heathers (1989)	4.0
Romy and Michele's High School Reunion (1997)	3.0
Men in Black (a.k.a. MIB) (1997)	1.0
Hunt for Red October, The (1990)	3.0
Titanic (1997)	1.0
South Park: Bigger, Longer and Uncut (1999)	5.0
Three Kings (1999)	4.0
Auntie Mame (1958)	5.0
Mission: Impossible II (2000)	1.0
Shanghai Noon (2000)	4.0
Blazing Saddles (1974)	5.0
Legally Blonde (2001)	4.0
Ocean's Eleven (2001)	3.5
Ring, The (2002)	1.0
Pirates of the Caribbean: The Curse of the Black Pearl (2003)	3.3333333333
Batman Begins (2005)	2.0
Serenity (2005)	3.0
Lucky Number Slevin (2006)	1.0
United 93 (2006)	1.0
Idiocracy (2006)	2.0
Clerks (1994)	5.0
Jurassic Park (1993)	1.0
Die Hard (1988)	4.0
Grand Day Out with Wallace and Gromit, A (1989)	5.0
Mars Attacks! (1996)	4.0
Fifth Element, The (1997)	2.0
Contact (1997)	2.0
Thing, The (1982)	1.0
Ghostbusters (a.k.a. Ghost Busters) (1984)	4.0
Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)	2.0
What Women Want (2000)	3.0
Innerspace (1987)	3.0
A.I. Artificial Intelligence (2001)	1.0
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)	4.0
Finding Nemo (2003)	4.5
Lemony Snicket's A Series of Unfortunate Events (2004)	4.0
Hitchhiker's Guide to the Galaxy, The (2005)	5.0
Illusionist, The (2006)	1.0
Bourne Ultimatum, The (2007)	1.0
Kung Fu Panda (2008)	5.0
Young Frankenstein (1974)	5.0
When Harry Met Sally... (1989)	5.0
Matrix, The (1999)	1.0
Demolition Man (1993)	3.0
Robin Hood: Prince of Thieves (1991)	2.0
Back to the Future (1985)	4.0
Back to the Future Part III (1990)	1.0
Ferris Bueller's Day Off (1986)	5.0
Animal House (1978)	5.0
O Brother, Where Art Thou? (2000)	4.6666666667
House of Flying Daggers (Shi mian mai fu) (2004)	1.0
War of the Worlds (2005)	1.0
Fish Called Wanda, A (1988)	4.0
Monty Python and the Holy Grail (1975)	5.0
Princess Bride, The (1987)	4.5
Shrek (2001)	4.0
Last Samurai, The (2003)	1.0
Kill Bill: Vol. 2 (2004)	2.0
Cars (2006)	1.0
In Bruges (2008)	3.0
Son of Rambow (2007)	3.0
You Don't Mess with the Zohan (2008)	3.0
Reservoir Dogs (1992)	3.0
Goodfellas (1990)	3.0
Diamonds Are Forever (1971)	1.0
Kill Bill: Vol. 1 (2003)	2.5
Sin City (2005)	1.0
Catch Me If You Can (2002)	4.0
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	2.6666666667000003
