title	score
Toy Story (1995)	1.0
Terminator 2: Judgment Day (1991)	1.0
Fargo (1996)	5.0
Top Gun (1986)	1.0
Star Wars: Episode V - The Empire Strikes Back (1980)	1.0
Aliens (1986)	1.0
Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	2.5
Star Wars: Episode VI - Return of the Jedi (1983)	1.0
Titanic (1997)	1.0
South Park: Bigger, Longer and Uncut (1999)	4.0
Fight Club (1999)	3.2
Outlaw Josey Wales, The (1976)	2.0
Blood Simple (1984)	4.0
Memento (2000)	5.0
Lord of the Rings: The Fellowship of the Ring, The (2001)	1.0
Minority Report (2002)	3.0
Pirates of the Caribbean: The Curse of the Black Pearl (2003)	3.0
Lord of the Rings: The Return of the King, The (2003)	2.0
Capote (2005)	5.0
Wallace & Gromit in The Curse of the Were-Rabbit (2005)	4.5
Munich (2005)	1.0
Stardust (2007)	1.0
Clerks (1994)	2.0
Interview with the Vampire: The Vampire Chronicles (1994)	1.0
Star Trek: Generations (1994)	3.0
Last Action Hero (1993)	4.0
Blade Runner (1982)	3.0
Die Hard (1988)	1.0
Grand Day Out with Wallace and Gromit, A (1989)	5.0
Day the Earth Stood Still, The (1951)	4.0
Groundhog Day (1993)	4.0
Raising Arizona (1987)	4.0
Game, The (1997)	4.0
Gattaca (1997)	3.0
Armageddon (1998)	1.0
Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	2.6
Finding Nemo (2003)	3.0
Incredibles, The (2004)	2.5
Pulp Fiction (1994)	3.25
Welcome to the Dollhouse (1995)	5.0
Wizard of Oz, The (1939)	1.0
When Harry Met Sally... (1989)	4.0
Rushmore (1998)	5.0
Office Space (1999)	2.0
Donnie Darko (2001)	1.0
Watchmen (2009)	1.0
Back to the Future (1985)	4.0
Breakfast Club, The (1985)	3.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)	5.0
Princess Bride, The (1987)	4.5
Shrek (2001)	2.3333333333
Eternal Sunshine of the Spotless Mind (2004)	5.0
Kill Bill: Vol. 2 (2004)	2.5
In Bruges (2008)	5.0
