title	score
Crimson Tide (1995)	2.0
Star Wars: Episode IV - A New Hope (1977)	2.0
Ace Ventura: Pet Detective (1994)	1.0
Four Weddings and a Funeral (1994)	1.0
Beverly Hills Cop III (1994)	2.0
Terminator 2: Judgment Day (1991)	2.0
Dances with Wolves (1990)	1.5
Lawnmower Man, The (1992)	4.0
Monty Python's Life of Brian (1979)	3.5
Aliens (1986)	1.0
Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	1.0
Apocalypse Now (1979)	3.75
Duck Soup (1933)	2.0
Deer Hunter, The (1978)	1.0
Pink Floyd: The Wall (1982)	4.0
Men in Black (a.k.a. MIB) (1997)	3.0
Little Mermaid, The (1989)	1.0
Three Kings (1999)	1.0
Fight Club (1999)	3.625
Jacob's Ladder (1990)	5.0
Blazing Saddles (1974)	1.0
Memento (2000)	3.0
Altered States (1980)	5.0
Lord of the Rings: The Fellowship of the Ring, The (2001)	2.0
Beautiful Mind, A (2001)	1.0
Minority Report (2002)	3.0
Frida (2002)	1.0
Matrix Revolutions, The (2003)	5.0
Hero (Ying xiong) (2002)	3.0
Lord of the Rings: The Return of the King, The (2003)	5.0
Team America: World Police (2004)	1.0
Love Me If You Dare (Jeux d'enfants) (2003)	5.0
Batman Begins (2005)	1.0
Stranger than Fiction (2006)	5.0
Pan's Labyrinth (Laberinto del fauno, El) (2006)	4.4
Children of Men (2006)	3.5
Clerks (1994)	1.0
Blade Runner (1982)	4.0
2001: A Space Odyssey (1968)	3.6666666667000003
Groundhog Day (1993)	4.0
Star Trek III: The Search for Spock (1984)	2.0
Raising Arizona (1987)	3.5
Game, The (1997)	3.0
Big Lebowski, The (1998)	3.7142857143
Plan 9 from Outer Space (1959)	1.0
Dune (1984)	3.0
Star Wars: Episode I - The Phantom Menace (1999)	3.0
Ghostbusters (a.k.a. Ghost Busters) (1984)	3.0
Little Shop of Horrors (1986)	3.0
Spaceballs (1987)	2.0
Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)	1.5
Waking Life (2001)	3.0
Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	3.3636363636
Finding Nemo (2003)	1.0
THX 1138 (1971)	4.0
Mean Girls (2004)	2.0
Incredibles, The (2004)	4.0
WALL·E (2008)	4.0
Pulp Fiction (1994)	3.6666666667000003
Welcome to the Dollhouse (1995)	5.0
Wizard of Oz, The (1939)	3.5
Citizen Kane (1941)	1.0
Annie Hall (1977)	1.0
Rushmore (1998)	1.0
Office Space (1999)	1.0
Matrix, The (1999)	4.5
Austin Powers: The Spy Who Shagged Me (1999)	1.0
Donnie Darko (2001)	4.3333333333
Brazil (1985)	4.0
Graduate, The (1967)	1.0
Ferris Bueller's Day Off (1986)	1.0
RoboCop (1987)	2.5
Predator (1987)	2.0
O Brother, Where Art Thou? (2000)	5.0
Monsters, Inc. (2001)	2.0
Terminator 3: Rise of the Machines (2003)	1.0
House of Flying Daggers (Shi mian mai fu) (2004)	5.0
Casino Royale (2006)	3.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)	2.5
Fish Called Wanda, A (1988)	3.0
Monty Python and the Holy Grail (1975)	3.0
Seven Samurai (Shichinin no samurai) (1954)	2.0
Eternal Sunshine of the Spotless Mind (2004)	4.1428571429
Kill Bill: Vol. 2 (2004)	2.0
In Bruges (2008)	1.0
