items	familiarity	intensity	pleasantness	irritability
Almonds	5.34	4.6	5.12	2.8
Aniseed Balls	5.88	5.4	3.98	3.54
Apples Green	4.75	4.21	5.04	2.83
Bacon	3.15	4.35	2.9	4.46
Banana	5.4	4.76	5.32	2.94
Barbecue	3.62	5.26	2.3	5.1
Basil	4.06	4.43	4.12	3.37
Beef	3.8	6.2	1.88	5.67
Biscuit	4.17	4.13	3.48	3.98
Blackberry	5.04	4.23	5.23	2.54
Blackcurrant	5.67	4.85	5.48	2.52
Blue Cheese	3.51	5.66	1.89	5.6
Brandy	4.28	4.6	3.96	3.92
Bubble Gum	5.53	5.04	5.41	2.49
Butter Cream	5.02	4.71	4.35	3.56
Buttered Popcorn	2.72	4.58	3.02	4.42
Candy Floss	3.43	4.04	3.65	4.0
Caramel Toffee	4.16	3.58	4.28	3.32
Cardamom	4.08	5.08	3.32	4.16
Carrot	3.55	4.69	2.88	4.45
Celery	3.26	4.7	2.8	4.86
Cereal	4.17	4.9	3.29	4.53
Cheddar Cheese	3.14	5.27	2.35	5.29
Cherry	5.58	4.76	5.28	2.78
Chewing Gum	5.85	5.02	5.11	3.04
Chicken	3.4	4.48	2.85	4.58
Chilli Pepper	3.0	4.14	3.22	4.29
Chocolate	4.67	4.41	3.8	3.37
Chocolate (Mint)	4.9	5.48	4.12	3.84
Chocolate (Orange)	4.24	5.04	4.0	3.74
Cinder Toffee	3.02	3.37	3.59	3.91
Cinnamon	4.54	5.0	4.44	3.52
Coco-mango	5.27	4.25	5.55	2.39
Coconut	4.87	3.23	4.83	2.85
Coffee	4.45	4.88	3.76	3.84
Cola	5.21	5.04	5.02	3.02
Cookie	3.94	3.94	4.33	3.45
Cookies & Cream	4.3	4.92	3.8	3.98
Coriander	3.87	4.76	3.98	3.87
Cranberry	5.59	4.71	5.58	2.59
Crusty Bread	3.84	3.76	3.57	3.76
Cucumber & Lime	5.34	4.28	5.38	2.72
Cumin	4.27	4.96	3.3	4.58
Curry	4.81	5.29	3.79	4.02
Fermented Fruit	4.18	5.24	3.62	4.14
Fish	4.74	5.78	1.66	5.66
Fruit Punch	5.45	4.18	5.29	2.49
Fruity Sweets	5.02	4.4	5.04	2.83
Garden Mint	5.84	5.08	5.3	2.32
Antiseptic	3.48	4.0	3.3	4.19
Baby powder	5.48	4.25	5.46	2.48
Beauty Soap	4.98	4.12	4.71	2.96
Black Pepper	4.88	5.04	4.24	3.66
Boiler Room	3.04	5.86	2.42	5.42
Brewery	3.79	3.94	3.81	3.58
Burning Peat	3.81	5.38	2.79	4.77
Burnt Wood	3.9	5.8	2.18	5.32
Cannon	2.78	6.4	1.72	5.9
Carbolic Soap	3.61	5.1	3.12	4.51
Casbah	3.86	4.7	3.86	3.88
Cedar	3.68	4.12	3.36	4.28
Church Incense	4.08	4.2	3.64	3.94
Cloisters	3.41	4.57	3.14	4.33
Clove Oil	3.04	5.02	2.58	4.6
Clover	4.13	4.02	4.54	3.14
Club	3.12	4.49	3.2	4.04
Coal Pit	3.49	6.49	1.67	5.96
Coal Soot	4.27	5.58	2.46	4.88
Cuban Cigar Smoke	3.37	4.52	3.47	4.04
Dentist	3.66	5.3	2.88	4.82
Earthy	4.76	4.88	3.8	3.76
Eau de Cologne	4.92	4.92	4.43	3.45
Eucalyptus	5.88	5.42	4.73	3.13
Fabric Softener	4.9	4.27	4.67	3.02
Farmyard	3.86	5.4	2.46	5.04
Firework	3.71	5.77	2.32	5.4
Football Pitch	4.52	5.0	3.9	3.75
Forest	4.14	4.04	4.18	3.46
Fox	4.3	4.62	3.76	3.84
Frosty	4.0	3.62	4.49	3.55
Gambia	4.58	4.13	4.21	3.13
Garden Shed	4.04	4.56	3.81	3.98
Ginseng	3.94	5.06	3.02	4.41
Grass/Hay	4.98	4.89	4.04	3.72
Havana Cigar	4.76	4.46	4.28	3.8
Hawthorn	4.37	4.14	4.39	3.45
Heather/Bracken	5.12	4.72	4.6	3.12
Honeysuckle	3.98	3.77	4.0	3.45
Hospital Modern Day	5.06	4.86	4.32	3.44
Hot Stuff Male	4.62	4.26	4.76	3.0
Hunter	3.73	3.85	4.13	3.52
Lavender	4.84	4.73	4.67	3.25
Leather	3.88	5.12	3.24	4.31
Leather Cream	4.37	3.92	3.55	3.59
Leather/Hide	3.6	4.28	3.55	4.0
Leaves	4.8	4.98	4.02	3.71
Lemon Cream	5.64	5.1	5.44	2.58
Mahogany	3.27	4.55	2.82	4.67
Man-o'-War	3.14	6.1	1.86	5.73
Garlic	5.1	6.51	2.06	5.51
Ginger	3.39	5.22	3.1	4.39
Gingerbread	3.69	4.04	3.51	3.79
Grapefruit	4.22	4.96	4.18	3.63
Hazelnut	4.4	5.4	3.25	4.31
Herring	4.02	4.64	2.88	4.46
Honey	4.5	4.1	4.24	3.34
Ice Cream	3.13	3.04	3.71	3.71
Iced Lemon	5.71	4.71	5.63	2.4
Irish Cream	4.63	4.31	4.02	3.58
Jelly Beans	3.75	3.73	4.4	3.11
Lemon, Eucalyptus & Mint	5.67	4.78	4.76	3.0
Lime	5.7	5.06	5.16	2.98
Liquorice	5.14	4.72	3.56	4.12
Lychee	4.38	4.5	4.44	3.33
Malted Barley	3.2	3.58	3.7	3.82
Mango & Sweet Orange	5.02	4.33	5.12	2.8
Mango Delight	4.4	4.42	3.9	3.53
Marzipan	6.12	5.27	4.96	3.0
Melon	5.37	4.55	5.39	2.92
Mixed Spice	4.42	4.88	4.04	3.92
Mulled Wine	5.08	3.94	5.14	2.68
Onion	4.66	6.58	2.0	6.02
Orange & Cinnamon	5.28	4.72	5.1	2.8
Orange (Seville)	5.47	4.45	5.2	2.61
Parma Violets	4.73	3.85	4.94	2.71
Passion Fruit	4.69	4.2	4.82	3.0
Peach Flesh	5.33	3.98	5.2	2.55
Peach Schnapps	5.73	4.49	5.65	2.59
Peanut	3.85	4.96	2.74	4.74
Pear	5.82	5.16	4.4	3.56
Pear Drops	5.66	5.0	4.74	3.08
Peppermint	5.56	5.18	4.64	3.16
Pineapple	4.69	4.35	4.53	3.24
Potato	4.47	5.41	2.82	4.78
Raspberry	3.88	3.9	4.12	3.4
Rhubarb	4.22	4.8	3.92	3.98
Rosemary	4.53	4.96	3.84	3.82
Rum	4.3	5.64	2.9	4.94
Sage	4.96	5.24	4.12	3.58
Shea & Butter	5.43	4.76	4.9	2.96
Spearmint	5.9	4.96	5.08	2.6
Strawberry	5.37	4.24	5.37	2.45
Sweet Sherry	4.58	5.46	3.16	4.62
Tea Leaf	4.02	4.59	3.8	3.96
Toffee Apple	4.1	4.6	4.04	3.78
Vanilla	3.66	3.6	3.76	3.6
Watermelon	5.34	4.54	5.52	2.5
Whisky	3.61	5.02	2.59	4.71
Tomato Plant	4.88	4.78	4.27	3.37
Menthol	3.3	3.3	3.68	3.74
Methane	3.57	5.71	1.71	5.65
Mountain Heather	4.8	4.12	4.47	3.0
Mouse	3.36	5.06	2.7	4.7
Myrrh	3.71	4.31	3.86	3.88
Nag Champa	3.1	3.41	3.73	3.78
New Car	4.18	3.43	4.61	3.24
Nutmeg	3.14	4.32	3.24	4.34
Oak	3.37	4.51	2.9	4.47
Old Drifter (Ship)	3.39	5.27	2.31	5.1
Old Inn	3.18	4.12	2.86	4.32
Old Smithy	4.6	4.72	3.98	3.65
Out At Sea	4.65	4.67	3.67	3.9
Ozone	3.92	4.38	3.68	3.82
Patchouli	3.55	5.06	3.02	4.43
Peat	3.31	3.27	3.94	3.63
Pencils	3.02	3.86	3.33	3.94
Pine/Heather/Peat	4.42	4.64	3.92	3.84
Polish/Wax	3.94	4.24	4.2	3.51
Practical Man	4.86	4.48	4.74	3.16
Racing Car	3.38	6.32	1.88	5.42
Rockpools	3.61	3.35	4.04	3.65
Roselle	4.06	4.0	4.2	3.24
Rum Barrel	3.1	5.18	2.68	4.66
Sandalwood	2.73	2.96	3.73	3.69
Sea Breeze	4.46	4.38	4.14	3.62
Sea Mineral	5.2	4.39	4.53	3.33
Sea Shore	2.96	5.2	2.2	5.1
Smugglers	4.56	5.52	2.12	5.5
Sports Changing Room	4.16	5.12	3.43	4.06
Sports Rub	5.6	5.52	4.21	3.29
Stars Dressing Room	4.38	4.06	4.49	3.3
Sun tan lotion	5.16	4.22	5.0	2.8
Tarmac	3.1	6.19	1.96	5.67
Tea Tree Oil	5.2	5.14	3.67	3.8
Tobacco Leaf	3.75	4.73	3.1	4.44
Toothpaste	3.8	4.94	3.37	4.22
Train Smoke	3.96	6.06	2.18	5.3
Trophy Room	2.94	4.46	2.98	4.6
Turpentine	4.33	4.59	3.65	3.69
Tyres	4.0	5.8	2.18	5.1
Victorian Street	2.98	5.59	1.86	5.49
Washday	4.78	4.86	3.96	3.61
Washing Up Liquid	5.65	4.71	5.33	2.65
Wood Chip	2.94	3.96	3.8	3.98
Woodsmoke	4.28	5.0	2.94	4.88
Ylang, Jasmine & Myrrh	4.8	4.56	4.6	3.18
Aftershave	4.96	4.24	4.74	3.02
Soap Suds	4.9	4.14	4.37	3.22
Rubber	4.12	5.8	2.22	5.39
