rockLabel	lightness	grainSize	roughness	shine	organization	variability	7	8	9	10	11	12	13	14	15	16	17	density
Andesite	5.37	5.64	5.14	2.53	4.8	4.17	9.96	8.13	0.29	1.18	0.17	1.05	4.24	4.34	4.99	5.71	1.47	2.8
Basalt	3.63	3.52	4.53	2.08	5.07	2.15	9	2.75	0.71	2.46	1.5	0.44	2.57	4.92	4.99	4.2	1.29	2.9
Diorite	5.7	5.91	5.31	3.55	5.34	4.9	10	6.54	0.13	0.7	0.04	0.79	3.74	4.62	4.99	6.74	1.71	2.9
Gabbro	3.79	5.56	5.94	3.32	4.5	3.75	9.92	4.71	0.54	0.53	0.39	1.19	3.95	4.69	4.98	3.91	1.34	3.0
Granite	5.99	6.39	5.84	3.77	4.68	6	10	7.04	0.21	0.35	0.17	1.11	4.89	4.38	4.96	6.45	3.35	2.6
Obsidian	1.34	1.68	1.69	8.41	5.44	3.32	5.17	2.29	3.79	0.04	1.98	2.07	3.73	5.17	5.48	2.12	1.19	2.9
Pegmatite	5.28	7	6.85	4.73	2.57	7.21	10	7.79	1.58	0.39	0.88	2.89	6.82	3.67	4.95	5.93	2.87	2.7
Peridotite	4.63	5.89	6.05	3.95	4.12	5.64	9.96	7.5	0.13	1.24	0.3	1.86	4.55	5.11	5	5.29	2.82	3.3
Pumice	7.62	5.25	6.3	1.91	4.67	1.87	9	2.83	0.87	8.77	0	0.08	3.67	5.25	4.95	7.64	1.74	0.3
Rhyolite	5.64	4.77	4.61	2.59	5.74	4.3	9.58	5.88	3	1.42	0.75	0.8	3.33	4.73	4.58	5.55	3.26	2.5
Amphibolite	2.91	5.31	5.32	4	4.85	4.67	9.75	5.58	1.38	0.48	0.35	1.5	3.69	4.76	4.97	3.22	1.36	2.9
Anthracite	1.52	2.27	3.55	7.87	5	2.21	6.13	2.54	2.38	0.08	4.23	0.79	3.38	4.64	4.65	2.45	0.6	1.3
Gneiss	5.41	4.85	4.38	2.98	6.96	5.41	9.63	3.38	9.04	0.17	0.73	1.13	3.41	4.84	3.94	5.78	2.39	2.8
Hornfels	3.3	3.24	4.31	2.88	5.08	2.63	8.87	2.29	0.83	0.22	1.49	0.77	2.73	4.83	4.97	3.65	1.55	2.8
Marble	7.77	4.22	4.9	5.01	5.26	3.5	9.42	3.58	2.21	0.26	0.26	1.11	3.13	4.93	4.8	7.46	1.68	2.7
Migmatite	4.92	4.75	4.55	2.85	5.6	4.92	9.54	3.83	7.88	0.13	0.79	1.12	3.43	4.76	5.9	5.45	1.48	2.6
Phyllite	4.95	3.72	4.15	4.58	5.53	3.61	8.79	2.58	4.38	0.04	3.41	1.06	3	5.05	4.4	5.62	2.02	2.7
Quartzite	6.36	4.26	4.21	3.39	5.57	3.58	9.54	3.46	3	0.08	1.58	0.83	3.23	4.71	4.38	6.43	2.65	2.7
Schist	4.6	5.42	5.9	4.63	4.06	4.35	9.75	5.42	1.46	0.48	1.28	1.9	4.03	5.23	4.85	5.01	2.03	2.7
Slate	4.9	2.76	3.46	2.8	5.67	2.03	7.96	1.54	2.25	0	7.24	0.08	2.32	4.7	4.61	5.19	2.32	2.7
Bituminous Coal	1.78	2.97	4.38	6.31	4.73	2.25	7.46	2.25	1.38	0.13	3.9	0.34	3.01	4.89	4.76	2.6	0.77	1.2
Breccia	5.08	7.75	6.54	3.65	2.6	6.63	9.92	9.42	0.46	0.23	0.61	2.86	7.85	2.97	4.98	4.96	3.71	2.3
Chert	6.5	2.33	2.75	4.88	4.67	3.67	7.17	2.71	1.96	0.08	1.58	1.88	3.2	5.12	5.12	6.26	3.21	2.6
Conglom.	4.99	7.48	7.15	2.74	2.78	6.66	9.88	8.96	0.17	0.26	0.57	2.9	7.01	5.86	5.02	5.56	4.04	2.5
Dolomite	6.68	3.47	3.98	2.77	5.08	2.65	8.67	2.5	1.04	1.67	2.16	0.57	2.82	4.9	4.98	6.48	2.49	2.5
Micrite	6.49	3.49	4.63	2.83	4.76	2.25	8.54	2.5	1.29	0.04	2.2	1.58	2.87	4.76	5.08	6.74	2.03	2.6
Rock Gypsum	7.57	3.5	4.47	5.66	4.72	3.41	8.04	3.71	2.54	0.13	2.12	1.63	3.4	4.53	4.39	7.21	1.01	2.4
Rock Salt	6.75	5	5.95	6.56	3.81	4.09	8.63	5.21	1.17	0.22	1.72	1.73	4.53	4.2	4.84	6.27	2.51	2.5
Sandstone	6.44	3.56	3.87	2.1	7.08	3.35	9.29	1.96	5.88	0.73	1.31	0.66	2.07	5.11	3.17	6.4	4.23	2.5
Shale	4.08	3.16	3.88	3.06	5.43	2.85	8.5	2.33	2.79	0	5.99	0.38	2.64	4.97	4.6	4.23	3.1	2.3
