Entity	QRank	museum	museumLabel	Rank_lat
Q10285	6549386	http://www.wikidata.org/entity/Q10285	Colosseum	41.890277777778
Q99309	4238072	http://www.wikidata.org/entity/Q99309	Pantheon	41.898561
Q191739	1663253	http://www.wikidata.org/entity/Q191739	Florence Cathedral	43.773055555556
Q486382	1183843	http://www.wikidata.org/entity/Q486382	Castel Sant'Angelo	41.903044
Q506234	889957	http://www.wikidata.org/entity/Q506234	Altare della Patria	41.894722222222
Q51252	868615	http://www.wikidata.org/entity/Q51252	Uffizi Gallery	43.768333333333
Q327983	682061	http://www.wikidata.org/entity/Q327983	Palace of Caserta	41.07
Q200642	604800	http://www.wikidata.org/entity/Q200642	Palatine Hill	41.888333333333
Q215897	577561	http://www.wikidata.org/entity/Q215897	Castel del Monte	41.0847535
Q271928	564320	http://www.wikidata.org/entity/Q271928	Palazzo Vecchio	43.769444444444
Q189883	547121	http://www.wikidata.org/entity/Q189883	Doge's Palace	45.433933
Q641556	542243	http://www.wikidata.org/entity/Q641556	Verona Arena	45.438888888889
Q51177	480948	http://www.wikidata.org/entity/Q51177	Basilica of Santa Croce	43.76814
Q29286	462113	http://www.wikidata.org/entity/Q29286	Palazzo Pitti	43.765153
Q51175	417179	http://www.wikidata.org/entity/Q51175	Basilica of Santa Maria Novella	43.7743
Q622438	400794	http://www.wikidata.org/entity/Q622438	Domus Aurea	41.891388888889
Q502098	372171	http://www.wikidata.org/entity/Q502098	Baths of Caracalla	41.880264
Q963954	358223	http://www.wikidata.org/entity/Q963954	Scrovegni Chapel	45.411818
Q623612	335912	http://www.wikidata.org/entity/Q623612	Ara Pacis	41.906388888889
Q272777	331984	http://www.wikidata.org/entity/Q272777	Hadrian's Villa	41.941944
Q201902	326428	http://www.wikidata.org/entity/Q201902	Mole Antonelliana	45.06898
Q841506	312625	http://www.wikidata.org/entity/Q841506	Galleria Borghese	41.91421
Q10855544	301387	http://www.wikidata.org/entity/Q10855544	Galleria dell'Accademia	43.776944444444
Q636774	293188	http://www.wikidata.org/entity/Q636774	Valle dei Templi	37.28972222
Q746063	291374	http://www.wikidata.org/entity/Q746063	Villa d'Este	41.9625
Q725404	290116	http://www.wikidata.org/entity/Q725404	Pyramid of Cestius	41.876388888889
Q165069	280498	http://www.wikidata.org/entity/Q165069	Miramare Castle	45.702454
Q333906	265557	http://www.wikidata.org/entity/Q333906	Capitoline Museums	41.892943
Q573881	262214	http://www.wikidata.org/entity/Q573881	Basilica of San Lorenzo	43.774888888889
Q19881	240490	http://www.wikidata.org/entity/Q19881	Sacra di San Michele	45.097786
Q1728834	231355	http://www.wikidata.org/entity/Q1728834	Catacombe dei Cappuccini	38.111667
Q911047	228136	http://www.wikidata.org/entity/Q911047	Palazzo Medici Riccardi	43.775288
Q334051	217085	http://www.wikidata.org/entity/Q334051	Abbey of Monte Cassino	41.49
Q3699556	215383	http://www.wikidata.org/entity/Q3699556	Brunelleschi's dome	43.7727
Q1357573	214801	http://www.wikidata.org/entity/Q1357573	Medici Chapels	43.775204
Q952173	213478	http://www.wikidata.org/entity/Q952173	Selinunte	37.583611
Q505617	205275	http://www.wikidata.org/entity/Q505617	Villa Romana del Casale	37.364723
Q150066	195588	http://www.wikidata.org/entity/Q150066	Pinacoteca di Brera	45.471943
Q888825	191429	http://www.wikidata.org/entity/Q888825	Boboli Gardens	43.765275
Q692847	189165	http://www.wikidata.org/entity/Q692847	Segesta	37.915905
Q1759446	187479	http://www.wikidata.org/entity/Q1759446	Villa del Balbianello	45.965056
Q897839	186506	http://www.wikidata.org/entity/Q897839	Cappella Sansevero	40.84918
