Entity	QRank	person	personLabel	dob
Q10520	22231937	http://www.wikidata.org/entity/Q10520	David Beckham	1975.0
Q25191	12786726	http://www.wikidata.org/entity/Q25191	Christopher Nolan	1970.0
Q212873	7209695	http://www.wikidata.org/entity/Q212873	Jane Birkin	1946.0
Q235132	6651449	http://www.wikidata.org/entity/Q235132	Emilia Clarke	1986.0
Q15123969	5555591	http://www.wikidata.org/entity/Q15123969	Sam Smith	1992.0
Q83492	5517826	http://www.wikidata.org/entity/Q83492	Gary Oldman	1958.0
Q36767	5469443	http://www.wikidata.org/entity/Q36767	Robert Pattinson	1986.0
Q166389	4761545	http://www.wikidata.org/entity/Q166389	Daniel Day-Lewis	1957.0
Q234959	4619580	http://www.wikidata.org/entity/Q234959	Hayley Atwell	1982.0
Q16235151	4154046	http://www.wikidata.org/entity/Q16235151	Suki Waterhouse	1992.0
Q1319882	4137207	http://www.wikidata.org/entity/Q1319882	Will Poulter	1993.0
Q10633	4071992	http://www.wikidata.org/entity/Q10633	Queen Elizabeth, The Queen Mother	1900.0
Q183337	4017924	http://www.wikidata.org/entity/Q183337	David Attenborough	1926.0
Q231310	4006616	http://www.wikidata.org/entity/Q231310	Helen McCrory	1968.0
Q16224046	3942028	http://www.wikidata.org/entity/Q16224046	Phoebe Waller-Bridge	1985.0
Q122553	3849164	http://www.wikidata.org/entity/Q122553	Charles II of England	1630.0
Q119702	3784571	http://www.wikidata.org/entity/Q119702	Anne of Great Britain	1665.0
Q182655	3752594	http://www.wikidata.org/entity/Q182655	Rod Stewart	1945.0
Q17410449	3500255	http://www.wikidata.org/entity/Q17410449	Brooklyn Beckham	1999.0
Q234434	3266475	http://www.wikidata.org/entity/Q234434	Juno Temple	1989.0
Q90902600	3197235	http://www.wikidata.org/entity/Q90902600	Nicholas Galitzine	1994.0
Q17103606	3170414	http://www.wikidata.org/entity/Q17103606	Matty Healy	1989.0
Q40909	3167192	http://www.wikidata.org/entity/Q40909	Virginia Woolf	1882.0
Q357607	3103931	http://www.wikidata.org/entity/Q357607	Kit Harington	1986.0
Q206856	3102152	http://www.wikidata.org/entity/Q206856	Angela Lansbury	1925.0
Q200534	3089061	http://www.wikidata.org/entity/Q200534	Tilda Swinton	1960.0
Q15990205	2845724	http://www.wikidata.org/entity/Q15990205	James Norton	1985.0
Q229029	2821100	http://www.wikidata.org/entity/Q229029	Thandiwe Newton	1972.0
Q372394	2670520	http://www.wikidata.org/entity/Q372394	Martin McDonagh	1970.0
Q126188	2655673	http://www.wikidata.org/entity/Q126188	James II of England	1633.0
Q7259	2552838	http://www.wikidata.org/entity/Q7259	Ada Lovelace	1815.0
Q28288	2551750	http://www.wikidata.org/entity/Q28288	Eddie Redmayne	1982.0
Q20426763	2452055	http://www.wikidata.org/entity/Q20426763	Romeo Beckham	2002.0
Q16235544	2379797	http://www.wikidata.org/entity/Q16235544	KSI	1993.0
Q152843	2330912	http://www.wikidata.org/entity/Q152843	Joan Collins	1933.0
Q1335213	2325104	http://www.wikidata.org/entity/Q1335213	Hero Fiennes Tiffin	1997.0
Q37388	2316637	http://www.wikidata.org/entity/Q37388	Francis Bacon	1561.0
Q329778	2217840	http://www.wikidata.org/entity/Q329778	Harry Melling	1989.0
Q5679	2217460	http://www.wikidata.org/entity/Q5679	Lord Byron	1788.0
Q312712	2180909	http://www.wikidata.org/entity/Q312712	Mark Strong	1963.0
Q9559	2168878	http://www.wikidata.org/entity/Q9559	John Major	1943.0
Q485365	2100691	http://www.wikidata.org/entity/Q485365	Bear Grylls	1974.0
Q24266427	2098595	http://www.wikidata.org/entity/Q24266427	Regé-Jean Page	1988.0
Q272069	2086961	http://www.wikidata.org/entity/Q272069	Damon Albarn	1968.0
Q16738674	2064522	http://www.wikidata.org/entity/Q16738674	Daisy Ridley	1992.0
Q304675	2062462	http://www.wikidata.org/entity/Q304675	MF DOOM	1971.0
Q6375357	2024548	http://www.wikidata.org/entity/Q6375357	Kate Barry	1967.0
Q2939142	2010003	http://www.wikidata.org/entity/Q2939142	Carlo Acutis	1991.0
Q73889193	1995573	http://www.wikidata.org/entity/Q73889193	Daisy Edgar-Jones	1998.0
Q510970	1952227	http://www.wikidata.org/entity/Q510970	Daniel Kaluuya	1989.0
Q296843	1906283	http://www.wikidata.org/entity/Q296843	Andrew Lincoln	1973.0
Q342419	1874503	http://www.wikidata.org/entity/Q342419	Toby Jones	1966.0
Q453740	1834326	http://www.wikidata.org/entity/Q453740	Amanda Abbington	1972.0
Q55720	1778612	http://www.wikidata.org/entity/Q55720	Sarah, Duchess of York	1959.0
Q184746	1746232	http://www.wikidata.org/entity/Q184746	Jane Goodall	1934.0
