Entity	QRank	item	itemLabel	unitLabel	unit	maxHeight
Q12495	7732971	http://www.wikidata.org/entity/Q12495	Burj Khalifa	metre	http://www.wikidata.org/entity/Q11573	828.0
Q9188	3172244	http://www.wikidata.org/entity/Q9188	Empire State Building	meter	http://www.wikidata.org/entity/Q3710	457.1999853696005
Q11245	2538057	http://www.wikidata.org/entity/Q11245	One World Trade Center	metre	http://www.wikidata.org/entity/Q11573	541.3
Q83063	1540033	http://www.wikidata.org/entity/Q83063	Petronas Towers	metre	http://www.wikidata.org/entity/Q11573	451.9
Q83101	1532054	http://www.wikidata.org/entity/Q83101	Taipei 101	metre	http://www.wikidata.org/entity/Q11573	508.0
Q737945	1437983	http://www.wikidata.org/entity/Q737945	Jeddah Tower	metre	http://www.wikidata.org/entity/Q11573	351.0
Q29294	1259962	http://www.wikidata.org/entity/Q29294	Willis Tower	metre	http://www.wikidata.org/entity/Q11573	442.1
Q7969454	1221715	http://www.wikidata.org/entity/Q7969454	Merdeka 118	metre	http://www.wikidata.org/entity/Q11573	678.9
Q11274	1073542	http://www.wikidata.org/entity/Q11274	Chrysler Building	metre	http://www.wikidata.org/entity/Q11573	318.9
Q18536	941890	http://www.wikidata.org/entity/Q18536	The Shard	metre	http://www.wikidata.org/entity/Q11573	306.0
Q270066	886962	http://www.wikidata.org/entity/Q270066	7 World Trade Center	metre	http://www.wikidata.org/entity/Q11573	225.0
Q18547	697467	http://www.wikidata.org/entity/Q18547	Shanghai Tower	metre	http://www.wikidata.org/entity/Q11573	632.0
Q29272	647250	http://www.wikidata.org/entity/Q29272	Ryugyong Hotel	metre	http://www.wikidata.org/entity/Q11573	330.0
Q868772	620199	http://www.wikidata.org/entity/Q868772	Trump Tower	meter	http://www.wikidata.org/entity/Q3710	202.3871935236098
Q4635219	600765	http://www.wikidata.org/entity/Q4635219	33 Thomas Street	metre	http://www.wikidata.org/entity/Q11573	170.0
Q4255374	541103	http://www.wikidata.org/entity/Q4255374	Lakhta Centre	metre	http://www.wikidata.org/entity/Q11573	462.0
Q167566	513354	http://www.wikidata.org/entity/Q167566	Palace of Culture and Science	metre	http://www.wikidata.org/entity/Q11573	230.0
Q494895	485220	http://www.wikidata.org/entity/Q494895	Lotte World Tower	metre	http://www.wikidata.org/entity/Q11573	555.7
Q189476	477417	http://www.wikidata.org/entity/Q189476	Abraj Al Bait	metre	http://www.wikidata.org/entity/Q11573	601.0
Q1066676	476968	http://www.wikidata.org/entity/Q1066676	Plaza Hotel	metre	http://www.wikidata.org/entity/Q11573	76.0
Q323767	443715	http://www.wikidata.org/entity/Q323767	Montparnasse Tower	metre	http://www.wikidata.org/entity/Q11573	209.0
Q2631268	420780	http://www.wikidata.org/entity/Q2631268	111 West 57th Street	metre	http://www.wikidata.org/entity/Q11573	435.3
Q191161	420269	http://www.wikidata.org/entity/Q191161	30 St Mary Axe	metre	http://www.wikidata.org/entity/Q11573	250.0
Q18640924	372841	http://www.wikidata.org/entity/Q18640924	Landmark 81	metre	http://www.wikidata.org/entity/Q11573	461.5
Q233940	360124	http://www.wikidata.org/entity/Q233940	432 Park Avenue	metre	http://www.wikidata.org/entity/Q11573	425.5
Q1127212	359585	http://www.wikidata.org/entity/Q1127212	2 World Trade Center	metre	http://www.wikidata.org/entity/Q11573	403.3
Q18398409	343942	http://www.wikidata.org/entity/Q18398409	One Vanderbilt	metre	http://www.wikidata.org/entity/Q11573	427.0
Q217652	308877	http://www.wikidata.org/entity/Q217652	Woolworth Building	metre	http://www.wikidata.org/entity/Q11573	351.0
Q206435	301994	http://www.wikidata.org/entity/Q206435	Turning Torso	metre	http://www.wikidata.org/entity/Q11573	190.0
Q216357	279056	http://www.wikidata.org/entity/Q216357	Grande Arche	metre	http://www.wikidata.org/entity/Q11573	110.9
Q217727	273734	http://www.wikidata.org/entity/Q217727	875 North Michigan Avenue	metre	http://www.wikidata.org/entity/Q11573	344.0
Q546221	273652	http://www.wikidata.org/entity/Q546221	Trump International Hotel and Tower	metre	http://www.wikidata.org/entity/Q11573	423.2
Q218305	267663	http://www.wikidata.org/entity/Q218305	40 Wall Street	metre	http://www.wikidata.org/entity/Q11573	284.0
