Entity	QRank	island	islandLabel	No_islandArea	unitLabel
Q398	5493227	http://www.wikidata.org/entity/Q398	Bahrain	785080000.0	square metre
Q22890	4346597	http://www.wikidata.org/entity/Q22890	Ireland	84421000000.0	square metre
Q14452	3495734	http://www.wikidata.org/entity/Q14452	Easter Island	164000000.0	square metre
Q34374	3472640	http://www.wikidata.org/entity/Q34374	Crete	8335880000.0	square metre
Q1260331	3472444	http://www.wikidata.org/entity/Q1260331	North Sentinel Island	59670000.0	square metre
Q40846	3180806	http://www.wikidata.org/entity/Q40846	Tenerife	2034000000.0	square metre
Q16635	2938809	http://www.wikidata.org/entity/Q16635	Guam	544000000.0	square metre
Q23666	2924382	http://www.wikidata.org/entity/Q23666	Great Britain	228938000000.0	square metre
Q8828	2740175	http://www.wikidata.org/entity/Q8828	Mallorca	3620000000.0	square metre
Q34497	2668913	http://www.wikidata.org/entity/Q34497	Saint Helena	121000000.0	square metre
Q22502	2654883	http://www.wikidata.org/entity/Q22502	Taiwan	35883000000.0	square metre
Q13706	2619124	http://www.wikidata.org/entity/Q13706	Principality of Sealand	4000.0	square metre
Q35581	2440060	http://www.wikidata.org/entity/Q35581	Hokkaido	77984490000.0	square metre
Q43048	2405768	http://www.wikidata.org/entity/Q43048	Rhodes	1400459000.0	square metre
Q129296	2317214	http://www.wikidata.org/entity/Q129296	Santorini	79194000.0	square metre
Q36117	2174723	http://www.wikidata.org/entity/Q36117	Borneo	748168000000.0	square metre
Q131354	2126032	http://www.wikidata.org/entity/Q131354	Alcatraz Island	85000.0	square metre
Q42000	2054021	http://www.wikidata.org/entity/Q42000	Tahiti	1069000000.0	square metre
Q52631	1934541	http://www.wikidata.org/entity/Q52631	Ibiza	577000000.0	square metre
Q121378	1815059	http://www.wikidata.org/entity/Q121378	Corfu	626000000.0	square metre
Q4648	1798953	http://www.wikidata.org/entity/Q4648	Bali Island	5632860000.0	square metre
Q40285	1707189	http://www.wikidata.org/entity/Q40285	New Guinea	785753000000.0	square metre
Q3757	1687068	http://www.wikidata.org/entity/Q3757	Java	128297000000.0	square metre
Q13353	1573486	http://www.wikidata.org/entity/Q13353	Montserrat	102000000.0	square metre
Q7792	1571672	http://www.wikidata.org/entity/Q7792	Sakhalin	72492000000.0	square metre
Q48335	1488995	http://www.wikidata.org/entity/Q48335	Newfoundland	108860000000.0	square metre
Q18438	1452563	http://www.wikidata.org/entity/Q18438	Long Island	3566000000.0	square metre
Q30188	1418876	http://www.wikidata.org/entity/Q30188	Madeira Island	741000000.0	square metre
Q7343	1371520	http://www.wikidata.org/entity/Q7343	Great Barrier Reef	348934028830.109	square metre
Q188705	1357468	http://www.wikidata.org/entity/Q188705	Maui	1883000000.0	square metre
Q182432	1344997	http://www.wikidata.org/entity/Q182432	Lanzarote	791000000.0	square metre
Q178925	1305939	http://www.wikidata.org/entity/Q178925	Gran Canaria	1560000000.0	square metre
Q82859	1302677	http://www.wikidata.org/entity/Q82859	Socotra	3796000000.0	square metre
Q644636	1300905	http://www.wikidata.org/entity/Q644636	Cyprus	9234000000.0	square metre
Q107338	1298341	http://www.wikidata.org/entity/Q107338	Lampedusa	20200000.0	square metre
Q192534	1294389	http://www.wikidata.org/entity/Q192534	Fuerteventura	1633000000.0	square metre
Q3492	1282152	http://www.wikidata.org/entity/Q3492	Sumatra	473481000000.0	square metre
Q152225	1275547	http://www.wikidata.org/entity/Q152225	Bikini Atoll	6000000.0	square metre
Q600614	1230354	http://www.wikidata.org/entity/Q600614	Okinawa Island	1208480000.0	square metre
Q31063	1219475	http://www.wikidata.org/entity/Q31063	Christmas Island	135000000.0	square metre
Q3311985	1202467	http://www.wikidata.org/entity/Q3311985	Guernsey	63400000.0	square metre
Q45328	1193985	http://www.wikidata.org/entity/Q45328	Elba	223000000.0	square metre
Q2656389	1192361	http://www.wikidata.org/entity/Q2656389	Mauritius Island	1874000000.0	square metre
Q25596	1150027	http://www.wikidata.org/entity/Q25596	Saint Martin	87000000.0	square metre
Q184851	1129223	http://www.wikidata.org/entity/Q184851	Diego Garcia	30000000.0	square metre
Q25277	1105030	http://www.wikidata.org/entity/Q25277	Hispaniola	76420000000.0	square metre
Q25396	1074178	http://www.wikidata.org/entity/Q25396	Bonaire	288000000.0	square metre
Q13987	1074081	http://www.wikidata.org/entity/Q13987	Kyushu	36782110000.0	square metre
Q18432	1052823	http://www.wikidata.org/entity/Q18432	Staten Island	265000000.0	square metre
Q6651815	991907	http://www.wikidata.org/entity/Q6651815	Little Saint James	400000.0	square metre
Q1044668	991736	http://www.wikidata.org/entity/Q1044668	Republic of Rose Island	400.0	square metre
Q68740	981932	http://www.wikidata.org/entity/Q68740	Hawaii	10434000000.0	square metre
Q9679	979041	http://www.wikidata.org/entity/Q9679	Isle of Wight	380164400.0	square metre
Q128087	975619	http://www.wikidata.org/entity/Q128087	Lesbos	1641000000.0	square metre
Q29151	970261	http://www.wikidata.org/entity/Q29151	Jeju Island	1848000000.0	square metre
Q131148	929132	http://www.wikidata.org/entity/Q131148	Stromboli	12600000.0	square metre
Q201633	923606	http://www.wikidata.org/entity/Q201633	Iwo Jima	23730000.0	square metre
Q181544	892056	http://www.wikidata.org/entity/Q181544	Ilha da Queimada Grande	430000.0	square metre
Q190210	882549	http://www.wikidata.org/entity/Q190210	Mykonos	105793000.0	square metre
Q285468	874245	http://www.wikidata.org/entity/Q285468	Hashima Island	63000.0	square metre
Q51679	869477	http://www.wikidata.org/entity/Q51679	Saipan	115383970.3154688	square metre
Q46197	865939	http://www.wikidata.org/entity/Q46197	Ascension	88000000.0	square metre
Q13989	858084	http://www.wikidata.org/entity/Q13989	Honshu	227939660000.0	square metre
Q173292	843489	http://www.wikidata.org/entity/Q173292	Capri	10400000.0	square metre
Q49148	842771	http://www.wikidata.org/entity/Q49148	Martha's Vineyard	226570000.0	square metre
Q52636	831252	http://www.wikidata.org/entity/Q52636	Menorca	692000000.0	square metre
Q316390	825415	http://www.wikidata.org/entity/Q316390	Antigua	281000000.0	square metre
Q20883	806478	http://www.wikidata.org/entity/Q20883	Mont Saint-Michel	4000000.0	square metre
Q144880	796654	http://www.wikidata.org/entity/Q144880	Zakynthos	405550000.0	square metre
Q557077	792900	http://www.wikidata.org/entity/Q557077	Whakaari / White Island	3250000.0	square metre
Q202175	790584	http://www.wikidata.org/entity/Q202175	Ellis Island	111288.551616	square metre
Q169966	778887	http://www.wikidata.org/entity/Q169966	Deccan Plateau	1000000000000.0	square metre
Q128323	774506	http://www.wikidata.org/entity/Q128323	Trinidad	4768000000.0	square metre
Q23408	772499	http://www.wikidata.org/entity/Q23408	Bouvet Island	49000000.0	square metre
Q13991	765319	http://www.wikidata.org/entity/Q13991	Shikoku	18297320000.0	square metre
Q131347	764511	http://www.wikidata.org/entity/Q131347	Oahu	1545000000.0	square metre
Q120119	743735	http://www.wikidata.org/entity/Q120119	Rikers Island	1672000.0	square metre
Q1027830	720907	http://www.wikidata.org/entity/Q1027830	Gotland	2967770000.0	square metre
Q155868	720737	http://www.wikidata.org/entity/Q155868	Snake Island	170000.0	square metre
Q187063	704877	http://www.wikidata.org/entity/Q187063	Lanai	363970000.0	square metre
Q193896	691019	http://www.wikidata.org/entity/Q193896	Malta	246000000.0	square metre
Q1506857	677167	http://www.wikidata.org/entity/Q1506857	Oak Island	570000.0	square metre
Q3812	673821	http://www.wikidata.org/entity/Q3812	Sulawesi	174600000000.0	square metre
Q52051	670612	http://www.wikidata.org/entity/Q52051	Tsushima Island	696440000.0	square metre
Q124873	650112	http://www.wikidata.org/entity/Q124873	Mindanao	97530000000.0	square metre
Q43296	632882	http://www.wikidata.org/entity/Q43296	Wake Island	7100000.0	square metre
Q125384	628688	http://www.wikidata.org/entity/Q125384	Luzon	109965000000.0	square metre
Q161258	624704	http://www.wikidata.org/entity/Q161258	Clipperton Island	6000000.0	square metre
Q220385	615983	http://www.wikidata.org/entity/Q220385	Cayenne's Prison	140000.0	square metre
Q178488	608779	http://www.wikidata.org/entity/Q178488	Kefalonia	734014000.0	square metre
Q170479	607504	http://www.wikidata.org/entity/Q170479	Vancouver Island	32134000000.0	square metre
Q146695	606539	http://www.wikidata.org/entity/Q146695	Phú Quốc	574000000.0	square metre
Q189387	605431	http://www.wikidata.org/entity/Q189387	Ischia	46300000.0	square metre
Q201689	596848	http://www.wikidata.org/entity/Q201689	La Palma	708300000.0	square metre
Q188938	590325	http://www.wikidata.org/entity/Q188938	Djerba	514000000.0	square metre
Q49149	582885	http://www.wikidata.org/entity/Q49149	Nantucket	123801431.6740608	square metre
Q156882	582869	http://www.wikidata.org/entity/Q156882	Samos	476000000.0	square metre
Q239743	578741	http://www.wikidata.org/entity/Q239743	Niʻihau	179900000.0	square metre
Q3237	570751	http://www.wikidata.org/entity/Q3237	Rügen	926000000.0	square metre
Q1137202	569667	http://www.wikidata.org/entity/Q1137202	South Georgia	3756000000.0	square metre
Q25528	551962	http://www.wikidata.org/entity/Q25528	Saba	13000000.0	square metre
Q213804	546839	http://www.wikidata.org/entity/Q213804	Lindisfarne	4000000.0	square metre
Q769680	540223	http://www.wikidata.org/entity/Q769680	Bornholm	588360000.0	square metre
Q14056	540212	http://www.wikidata.org/entity/Q14056	Jan Mayen	377000000.0	square metre
Q4148644	539823	http://www.wikidata.org/entity/Q4148644	Greenland	2130800000000.0	square metre
Q201026	536996	http://www.wikidata.org/entity/Q201026	Kauai	1435000000.0	square metre
Q270375	536552	http://www.wikidata.org/entity/Q270375	Ko Samui	228700000.0	square metre
Q107393	531797	http://www.wikidata.org/entity/Q107393	Isle of Skye	1656000000.0	square metre
Q187471	510085	http://www.wikidata.org/entity/Q187471	Ithaca	116992000.0	square metre
Q192767	500499	http://www.wikidata.org/entity/Q192767	Guadalcanal	5302000000.0	square metre
Q855235	499532	http://www.wikidata.org/entity/Q855235	Boracay	10320000.0	square metre
Q204989	495966	http://www.wikidata.org/entity/Q204989	Saint Kitts	168000000.0	square metre
Q187027	494145	http://www.wikidata.org/entity/Q187027	Kos	290300000.0	square metre
Q1779748	490997	http://www.wikidata.org/entity/Q1779748	Pitcairn Island	4500000.0	square metre
Q209036	488366	http://www.wikidata.org/entity/Q209036	São Miguel Island	744550000.0	square metre
Q25535	484010	http://www.wikidata.org/entity/Q25535	Zealand	7031300000.0	square metre
Q173096	481510	http://www.wikidata.org/entity/Q173096	Euboea	3670000000.0	square metre
Q208345	477975	http://www.wikidata.org/entity/Q208345	Tortuga	180000000.0	square metre
Q107640	477744	http://www.wikidata.org/entity/Q107640	Komodo Island	390000000.0	square metre
Q106594	469810	http://www.wikidata.org/entity/Q106594	Wrangel Island	7600000000.0	square metre
Q209576	461790	http://www.wikidata.org/entity/Q209576	Icaria	255320000.0	square metre
Q131051	460895	http://www.wikidata.org/entity/Q131051	Saint Andrew	26000000.0	square metre
Q1419813	451939	http://www.wikidata.org/entity/Q1419813	Roatán	66420000.0	square metre
Q681389	451488	http://www.wikidata.org/entity/Q681389	Hans Island	1250000.0	square metre
Q846967	447417	http://www.wikidata.org/entity/Q846967	Nan Madol	6640000.0	square metre
Q26180	446080	http://www.wikidata.org/entity/Q26180	Sint Eustatius	21000000.0	square metre
Q221883	445316	http://www.wikidata.org/entity/Q221883	Kish Island	91500000.0	square metre
Q173148	439702	http://www.wikidata.org/entity/Q173148	Delos	3506400.0	square metre
Q105967	433810	http://www.wikidata.org/entity/Q105967	La Gomera	370000000.0	square metre
Q190053	431685	http://www.wikidata.org/entity/Q190053	Patmos	34140000.0	square metre
Q4951156	428895	http://www.wikidata.org/entity/Q4951156	Sicily	25662000000.0	square metre
Q21162	426292	http://www.wikidata.org/entity/Q21162	Spitsbergen	39044000000.0	square metre
Q3107	422142	http://www.wikidata.org/entity/Q3107	Sylt	57320000.0	square metre
Q160483	420749	http://www.wikidata.org/entity/Q160483	Chios	842500000.0	square metre
Q188527	419523	http://www.wikidata.org/entity/Q188527	Naxos Island	429785000.0	square metre
Q277294	418751	http://www.wikidata.org/entity/Q277294	Palm Jumeirah	5600000.0	square metre
Q190138	412922	http://www.wikidata.org/entity/Q190138	Lefkada	356000000.0	square metre
Q204096	411315	http://www.wikidata.org/entity/Q204096	Thasos	379000000.0	square metre
Q463937	399599	http://www.wikidata.org/entity/Q463937	Saint Thomas	80700000.0	square metre
Q170488	399038	http://www.wikidata.org/entity/Q170488	Gozo	67000000.0	square metre
Q7564	398678	http://www.wikidata.org/entity/Q7564	Lombok Island	5435000000.0	square metre
Q81178	390807	http://www.wikidata.org/entity/Q81178	Baffin Island	507451000000.0	square metre
Q292384	385215	http://www.wikidata.org/entity/Q292384	Île de Ré	85320000.0	square metre
Q201766	383593	http://www.wikidata.org/entity/Q201766	Bougainville Island	9318000000.0	square metre
Q7332301	383376	http://www.wikidata.org/entity/Q7332301	Unguja	1575000000.0	square metre
Q207794	382569	http://www.wikidata.org/entity/Q207794	Nevis	93000000.0	square metre
