Entity	QRank	species	speciesLabel	unit	unitLabel	maxMass
Q140	8593998	http://www.wikidata.org/entity/Q140	lion	http://www.wikidata.org/entity/Q11570	gram	188000.0
Q131538	7173928	http://www.wikidata.org/entity/Q131538	Hydrochoerus hydrochaeris	http://www.wikidata.org/entity/Q11570	gram	48900.0
Q19939	6120012	http://www.wikidata.org/entity/Q19939	tiger	http://www.wikidata.org/entity/Q11570	gram	1190.0
Q33602	5077601	http://www.wikidata.org/entity/Q33602	Giant Panda	http://www.wikidata.org/entity/Q11570	gram	117500.0
Q4504	4810203	http://www.wikidata.org/entity/Q4504	Varanus komodoensis	http://www.wikidata.org/entity/Q11570	gram	70000.0
Q36341	3893177	http://www.wikidata.org/entity/Q36341	brown bear	http://www.wikidata.org/entity/Q41803	gram	500.0
Q35694	3485394	http://www.wikidata.org/entity/Q35694	jaguar	http://www.wikidata.org/entity/Q41803	gram	800.0
Q23907	3409766	http://www.wikidata.org/entity/Q23907	cheetah	http://www.wikidata.org/entity/Q11570	gram	40200.0
Q41960	3016711	http://www.wikidata.org/entity/Q41960	Ailurus fulgens	http://www.wikidata.org/entity/Q11570	gram	4950.0
Q43502	2946416	http://www.wikidata.org/entity/Q43502	Raphus cucullatus	http://www.wikidata.org/entity/Q11570	gram	10200.0
Q14334	2837165	http://www.wikidata.org/entity/Q14334	wolverine	http://www.wikidata.org/entity/Q11570	gram	14800.0
Q33609	2423637	http://www.wikidata.org/entity/Q33609	polar bear	http://www.wikidata.org/entity/Q11570	gram	450000.0
Q187704	2362151	http://www.wikidata.org/entity/Q187704	Myocastor coypus	http://www.wikidata.org/entity/Q11570	gram	6700.0
Q173128	2331050	http://www.wikidata.org/entity/Q173128	honey badger	http://www.wikidata.org/entity/Q11570	gram	12000.0
Q25357	2040416	http://www.wikidata.org/entity/Q25357	Northern Raven	http://www.wikidata.org/entity/Q41803	gram	1625.0
Q41181	2017636	http://www.wikidata.org/entity/Q41181	Golden Eagle	http://www.wikidata.org/entity/Q11570	gram	5194.0
Q159426	1887366	http://www.wikidata.org/entity/Q159426	narwhal	http://www.wikidata.org/entity/Q11570	gram	80000.0
Q25345	1775367	http://www.wikidata.org/entity/Q25345	Mustela erminea	http://www.wikidata.org/entity/Q11570	gram	219.0
Q127216	1753787	http://www.wikidata.org/entity/Q127216	Bald Eagle	http://www.wikidata.org/entity/Q11570	gram	5350.0
Q19537	1687445	http://www.wikidata.org/entity/Q19537	bonobo	http://www.wikidata.org/entity/Q11570	gram	43000.0
Q25334	1681442	http://www.wikidata.org/entity/Q25334	European Robin	http://www.wikidata.org/entity/Q41803	gram	2.4
Q25485	1664988	http://www.wikidata.org/entity/Q25485	Great Tit	http://www.wikidata.org/entity/Q41803	gram	18.5
Q121221	1658366	http://www.wikidata.org/entity/Q121221	Budgerigar	http://www.wikidata.org/entity/Q41803	gram	2.15
Q82728	1638552	http://www.wikidata.org/entity/Q82728	Bison bison	http://www.wikidata.org/entity/Q11570	gram	20000.0
Q25307	1631248	http://www.wikidata.org/entity/Q25307	Eurasian Magpie	http://www.wikidata.org/entity/Q41803	gram	221.0
Q131907	1591084	http://www.wikidata.org/entity/Q131907	bobcat	http://www.wikidata.org/entity/Q41803	gram	310.0
Q17592	1554247	http://www.wikidata.org/entity/Q17592	common ostrich	http://www.wikidata.org/entity/Q11570	gram	115000.0
Q25311	1533797	http://www.wikidata.org/entity/Q25311	Mustela nivalis	http://www.wikidata.org/entity/Q41803	gram	1.4
Q93208	1527445	http://www.wikidata.org/entity/Q93208	emu	http://www.wikidata.org/entity/Q11570	gram	38300.0
