Entity	QRank	actor	actorLabel	numAwards
Q38111	16949950	http://www.wikidata.org/entity/Q38111	Leonardo DiCaprio	1
Q193555	13997912	http://www.wikidata.org/entity/Q193555	Brendan Fraser	1
Q36949	11790099	http://www.wikidata.org/entity/Q36949	Robert De Niro	1
Q2263	10637914	http://www.wikidata.org/entity/Q2263	Tom Hanks	2
Q42869	10619895	http://www.wikidata.org/entity/Q42869	Nicolas Cage	1
Q41163	10033306	http://www.wikidata.org/entity/Q41163	Al Pacino	1
Q185140	8144853	http://www.wikidata.org/entity/Q185140	Joaquin Phoenix	1
Q42101	8116142	http://www.wikidata.org/entity/Q42101	Denzel Washington	1
Q188955	8072178	http://www.wikidata.org/entity/Q188955	Matthew McConaughey	1
Q40096	7943576	http://www.wikidata.org/entity/Q40096	Will Smith	1
Q39792	7116863	http://www.wikidata.org/entity/Q39792	Jack Nicholson	2
Q119798	6794688	http://www.wikidata.org/entity/Q119798	Michael Douglas	1
Q171905	5802050	http://www.wikidata.org/entity/Q171905	Jamie Foxx	1
Q83492	5517826	http://www.wikidata.org/entity/Q83492	Gary Oldman	1
Q65932	5290254	http://www.wikidata.org/entity/Q65932	Anthony Hopkins	2
Q129817	5230507	http://www.wikidata.org/entity/Q129817	Russell Crowe	1
Q375590	5178046	http://www.wikidata.org/entity/Q375590	Rami Malek	1
Q25144	4968730	http://www.wikidata.org/entity/Q25144	Kevin Spacey	1
Q41871	4961837	http://www.wikidata.org/entity/Q41871	Paul Newman	1
Q166389	4761545	http://www.wikidata.org/entity/Q166389	Daniel Day-Lewis	3
Q44221	4571242	http://www.wikidata.org/entity/Q44221	Sean Penn	2
Q180560	4481759	http://www.wikidata.org/entity/Q180560	Philip Seymour Hoffman	1
Q40531	4446170	http://www.wikidata.org/entity/Q40531	John Wayne	1
Q104514	4053660	http://www.wikidata.org/entity/Q104514	Adrien Brody	1
Q167520	3689966	http://www.wikidata.org/entity/Q167520	Jon Voight	1
Q270730	3477958	http://www.wikidata.org/entity/Q270730	Casey Affleck	1
Q171736	3433405	http://www.wikidata.org/entity/Q171736	Robert Duvall	1
Q162492	3094860	http://www.wikidata.org/entity/Q162492	Colin Firth	1
Q16390	2993885	http://www.wikidata.org/entity/Q16390	Humphrey Bogart	1
Q174843	2992747	http://www.wikidata.org/entity/Q174843	Jeff Bridges	1
Q102462	2977860	http://www.wikidata.org/entity/Q102462	James Stewart	1
Q108366	2831561	http://www.wikidata.org/entity/Q108366	Gregory Peck	1
Q71243	2745976	http://www.wikidata.org/entity/Q71243	Clark Gable	1
