Entity	QRank	element	elementSymbol	elementLabel	minDiscovery
Q897	4988210	http://www.wikidata.org/entity/Q897	Au	gold	-6000.0
Q556	4819659	http://www.wikidata.org/entity/Q556	H	hydrogen	1766.0
Q629	4587391	http://www.wikidata.org/entity/Q629	O	oxygen	1774.0
Q677	4067929	http://www.wikidata.org/entity/Q677	Fe	iron	-5000.0
Q663	4022381	http://www.wikidata.org/entity/Q663	Al	aluminium	1825.0
Q753	3755217	http://www.wikidata.org/entity/Q753	Cu	copper	-7000.0
Q627	3575806	http://www.wikidata.org/entity/Q627	N	nitrogen	1772.0
Q623	3549865	http://www.wikidata.org/entity/Q623	C	carbon	1789.0
Q682	3262693	http://www.wikidata.org/entity/Q682	S	sulfur	1777.0
Q1098	3164364	http://www.wikidata.org/entity/Q1098	U	uranium	1789.0
Q568	3036167	http://www.wikidata.org/entity/Q568	Li	lithium	1817.0
Q658	2887192	http://www.wikidata.org/entity/Q658	Na	sodium	1807.0
Q688	2744158	http://www.wikidata.org/entity/Q688	Cl	chlorine	1774.0
Q1090	2710744	http://www.wikidata.org/entity/Q1090	Ag	silver	-5000.0
Q716	2674099	http://www.wikidata.org/entity/Q716	Ti	titanium	1791.0
Q660	2668045	http://www.wikidata.org/entity/Q660	Mg	magnesium	1755.0
Q703	2584568	http://www.wikidata.org/entity/Q703	K	potassium	1807.0
Q674	2550316	http://www.wikidata.org/entity/Q674	P	phosphorus	1669.0
Q670	2506676	http://www.wikidata.org/entity/Q670	Si	silicon	1823.0
Q560	2333907	http://www.wikidata.org/entity/Q560	He	helium	1868.0
Q706	2146400	http://www.wikidata.org/entity/Q706	Ca	calcium	1808.0
Q743	2126211	http://www.wikidata.org/entity/Q743	W	tungsten	1783.0
Q880	2035840	http://www.wikidata.org/entity/Q880	Pt	platinum	1557.0
Q740	1967765	http://www.wikidata.org/entity/Q740	Co	cobalt	1735.0
Q1103	1908434	http://www.wikidata.org/entity/Q1103	I	iodine	1811.0
Q744	1870167	http://www.wikidata.org/entity/Q744	Ni	nickel	1751.0
Q871	1868525	http://www.wikidata.org/entity/Q871	As	arsenic	1300.0
Q725	1741485	http://www.wikidata.org/entity/Q725	Cr	chromium	1797.0
Q1102	1707889	http://www.wikidata.org/entity/Q1102	Pu	plutonium	1941.0
Q879	1653332	http://www.wikidata.org/entity/Q879	Br	bromine	1825.0
Q618	1644725	http://www.wikidata.org/entity/Q618	B	boron	1892.0
Q650	1549645	http://www.wikidata.org/entity/Q650	F	fluorine	1810.0
Q731	1533959	http://www.wikidata.org/entity/Q731	Mn	manganese	1774.0
Q1089	1408559	http://www.wikidata.org/entity/Q1089	Pd	palladium	1803.0
Q696	1316333	http://www.wikidata.org/entity/Q696	Ar	argon	1894.0
Q876	1312373	http://www.wikidata.org/entity/Q876	Se	selenium	1817.0
Q861	1286186	http://www.wikidata.org/entity/Q861	Ga	gallium	1875.0
Q1128	1246294	http://www.wikidata.org/entity/Q1128	Ra	radium	1898.0
Q569	1240254	http://www.wikidata.org/entity/Q569	Be	beryllium	1798.0
Q932	1157478	http://www.wikidata.org/entity/Q932	Tl	thallium	1861.0
Q1307	1152860	http://www.wikidata.org/entity/Q1307	Og	oganesson	2002.0
Q979	1132603	http://www.wikidata.org/entity/Q979	Po	polonium	1898.0
Q1133	1115171	http://www.wikidata.org/entity/Q1133	Rn	radon	1899.0
Q1053	1079108	http://www.wikidata.org/entity/Q1053	Mo	molybdenum	1778.0
Q1108	1069947	http://www.wikidata.org/entity/Q1108	Cs	caesium	1860.0
Q751	1040796	http://www.wikidata.org/entity/Q751	Os	osmium	1804.0
Q877	1019245	http://www.wikidata.org/entity/Q877	Ir	iridium	1803.0
Q722	912249	http://www.wikidata.org/entity/Q722	V	vanadium	1801.0
Q1087	903807	http://www.wikidata.org/entity/Q1087	Rh	rhodium	1803.0
Q867	862369	http://www.wikidata.org/entity/Q867	Ge	germanium	1886.0
Q1112	855287	http://www.wikidata.org/entity/Q1112	Ba	barium	1808.0
Q1091	833787	http://www.wikidata.org/entity/Q1091	Cd	cadmium	1817.0
Q1038	831342	http://www.wikidata.org/entity/Q1038	Zr	zirconium	1789.0
Q1123	828918	http://www.wikidata.org/entity/Q1123	Ta	tantalum	1802.0
Q1115	814948	http://www.wikidata.org/entity/Q1115	Th	thorium	1828.0
Q654	812624	http://www.wikidata.org/entity/Q654	Ne	neon	1898.0
Q1888	772063	http://www.wikidata.org/entity/Q1888	Cf	californium	1950.0
Q999	765393	http://www.wikidata.org/entity/Q999	At	astatine	1940.0
Q1303	754524	http://www.wikidata.org/entity/Q1303	Mc	moscovium	2003.0
Q938	752236	http://www.wikidata.org/entity/Q938	Sr	strontium	1787.0
Q888	743160	http://www.wikidata.org/entity/Q888	Kr	krypton	1898.0
Q1046	611359	http://www.wikidata.org/entity/Q1046	Nb	niobium	1801.0
Q1100	611219	http://www.wikidata.org/entity/Q1100	Te	tellurium	1783.0
Q671	603427	http://www.wikidata.org/entity/Q671	Fr	francium	1939.0
Q1106	575210	http://www.wikidata.org/entity/Q1106	Xe	xenon	1898.0
Q895	568181	http://www.wikidata.org/entity/Q895	Rb	rubidium	1861.0
Q1054	558283	http://www.wikidata.org/entity/Q1054	Tc	technetium	1937.0
Q1388	554529	http://www.wikidata.org/entity/Q1388	Nd	neodymium	1885.0
Q1094	550078	http://www.wikidata.org/entity/Q1094	In	indium	1863.0
Q713	534748	http://www.wikidata.org/entity/Q713	Sc	scandium	1879.0
Q941	518750	http://www.wikidata.org/entity/Q941	Y	yttrium	1787.0
Q1086	482922	http://www.wikidata.org/entity/Q1086	Ru	ruthenium	1844.0
Q1306	472291	http://www.wikidata.org/entity/Q1306	Ts	tennessine	2009.0
Q737	449920	http://www.wikidata.org/entity/Q737	Re	rhenium	1925.0
Q1832	427172	http://www.wikidata.org/entity/Q1832	Gd	gadolinium	1880.0
Q1801	420671	http://www.wikidata.org/entity/Q1801	La	lanthanum	1839.0
Q1301	403479	http://www.wikidata.org/entity/Q1301	Nh	nihonium	2006.0
