Entity	QRank	element	elementSymbol	atomicNo	elementLabel
Q897	4988210	http://www.wikidata.org/entity/Q897	Au	79	gold
Q556	4819659	http://www.wikidata.org/entity/Q556	H	1	hydrogen
Q629	4587391	http://www.wikidata.org/entity/Q629	O	8	oxygen
Q677	4067929	http://www.wikidata.org/entity/Q677	Fe	26	iron
Q663	4022381	http://www.wikidata.org/entity/Q663	Al	13	aluminium
Q753	3755217	http://www.wikidata.org/entity/Q753	Cu	29	copper
Q627	3575806	http://www.wikidata.org/entity/Q627	N	7	nitrogen
Q623	3549865	http://www.wikidata.org/entity/Q623	C	6	carbon
Q925	3510485	http://www.wikidata.org/entity/Q925	Hg	80	mercury
Q682	3262693	http://www.wikidata.org/entity/Q682	S	16	sulfur
Q1098	3164364	http://www.wikidata.org/entity/Q1098	U	92	uranium
Q568	3036167	http://www.wikidata.org/entity/Q568	Li	3	lithium
Q658	2887192	http://www.wikidata.org/entity/Q658	Na	11	sodium
Q688	2744158	http://www.wikidata.org/entity/Q688	Cl	17	chlorine
Q1090	2710744	http://www.wikidata.org/entity/Q1090	Ag	47	silver
Q716	2674099	http://www.wikidata.org/entity/Q716	Ti	22	titanium
Q660	2668045	http://www.wikidata.org/entity/Q660	Mg	12	magnesium
Q703	2584568	http://www.wikidata.org/entity/Q703	K	19	potassium
Q674	2550316	http://www.wikidata.org/entity/Q674	P	15	phosphorus
Q708	2546064	http://www.wikidata.org/entity/Q708	Pb	82	lead
Q670	2506676	http://www.wikidata.org/entity/Q670	Si	14	silicon
Q758	2428818	http://www.wikidata.org/entity/Q758	Zn	30	zinc
Q560	2333907	http://www.wikidata.org/entity/Q560	He	2	helium
Q706	2146400	http://www.wikidata.org/entity/Q706	Ca	20	calcium
Q743	2126211	http://www.wikidata.org/entity/Q743	W	74	tungsten
Q880	2035840	http://www.wikidata.org/entity/Q880	Pt	78	platinum
Q740	1967765	http://www.wikidata.org/entity/Q740	Co	27	cobalt
Q1103	1908434	http://www.wikidata.org/entity/Q1103	I	53	iodine
Q744	1870167	http://www.wikidata.org/entity/Q744	Ni	28	nickel
Q871	1868525	http://www.wikidata.org/entity/Q871	As	33	arsenic
Q725	1741485	http://www.wikidata.org/entity/Q725	Cr	24	chromium
Q1102	1707889	http://www.wikidata.org/entity/Q1102	Pu	94	plutonium
Q879	1653332	http://www.wikidata.org/entity/Q879	Br	35	bromine
Q618	1644725	http://www.wikidata.org/entity/Q618	B	5	boron
Q1096	1580674	http://www.wikidata.org/entity/Q1096	Sn	50	tin
Q650	1549645	http://www.wikidata.org/entity/Q650	F	9	fluorine
