Entity	QRank	foodGrp	foodGrpLabel	unitLabel	unit	WaterFootPrint
Q11575	3646623	http://www.wikidata.org/entity/Q11575	maize	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	1314.0
Q15645384	2626160	http://www.wikidata.org/entity/Q15645384	wheat	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	1827.0
Q177378	2030131	http://www.wikidata.org/entity/Q177378	tofu	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	2523.0
Q28165	1931227	http://www.wikidata.org/entity/Q28165	cinnamon	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	15526.0
Q165199	1677954	http://www.wikidata.org/entity/Q165199	chili pepper	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	7365.0
Q83165	1578075	http://www.wikidata.org/entity/Q83165	nutmeg	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	34319.0
Q34172	1383227	http://www.wikidata.org/entity/Q34172	butter	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	5553.0
Q231458	1342936	http://www.wikidata.org/entity/Q231458	palm oil	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	4971.0
Q208021	1132722	http://www.wikidata.org/entity/Q208021	walnut	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	9280.0
Q192628	1075961	http://www.wikidata.org/entity/Q192628	beef	litre per kilogram	http://www.wikidata.org/entity/Q57175557	16726.0
Q192628	1075961	http://www.wikidata.org/entity/Q192628	beef	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	15415.0
Q12372598	1072838	http://www.wikidata.org/entity/Q12372598	plum	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	2180.0
Q578307	1037019	http://www.wikidata.org/entity/Q578307	hazelnut	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	10515.0
Q13179	814128	http://www.wikidata.org/entity/Q13179	raspberry	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	413.0
Q3393961	799679	http://www.wikidata.org/entity/Q3393961	corn starch	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	1671.0
Q818405	701066	http://www.wikidata.org/entity/Q818405	linseed oil	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	9415.0
Q94787	537335	http://www.wikidata.org/entity/Q94787	sunflower oil	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	6792.0
Q3214940	530050	http://www.wikidata.org/entity/Q3214940	hops	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	4065.0
Q2249305	520569	http://www.wikidata.org/entity/Q2249305	wheat flour	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	1849.0
Q17638951	509345	http://www.wikidata.org/entity/Q17638951	gooseberry	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	526.0
Q184357	507081	http://www.wikidata.org/entity/Q184357	almond	cubic metre per ton	http://www.wikidata.org/entity/Q57899268	16095.0
