Entity	QRank	instrument	instrumentLabel	inceptDate
Q390306	515317	http://www.wikidata.org/entity/Q390306	Liberty Bell	1753.0
Q191823	273789	http://www.wikidata.org/entity/Q191823	clavichord	1200.0
Q147875	262302	http://www.wikidata.org/entity/Q147875	Tsar Bell	1733.0
Q110960686	248854	http://www.wikidata.org/entity/Q110960686	15.ai	2020.0
Q1057445	233076	http://www.wikidata.org/entity/Q1057445	Logic Pro	1993.0
Q247670	216339	http://www.wikidata.org/entity/Q247670	Pro Tools	1989.0
Q2268940	146393	http://www.wikidata.org/entity/Q2268940	Sea organ	2005.0
Q775605	127012	http://www.wikidata.org/entity/Q775605	Fender Jaguar	1962.0
Q37733713	126611	http://www.wikidata.org/entity/Q37733713	Big Ben	1858.0
Q16899451	91791	http://www.wikidata.org/entity/Q16899451	Trigger	1969.0
Q3359049	86162	http://www.wikidata.org/entity/Q3359049	Oxford Electric Bell	1840.0
Q2411621	82980	http://www.wikidata.org/entity/Q2411621	Utau	2008.0
Q246105	80420	http://www.wikidata.org/entity/Q246105	Zytglogge	1220.0
Q450953	79185	http://www.wikidata.org/entity/Q450953	Petersglocke	1923.0
Q1777287	78856	http://www.wikidata.org/entity/Q1777287	Divje Babe flute	-50000.0
Q201809	77162	http://www.wikidata.org/entity/Q201809	LMMS	2004.0
Q1320874	69487	http://www.wikidata.org/entity/Q1320874	Tipu's Tiger	1790.0
Q218547	61960	http://www.wikidata.org/entity/Q218547	Sigismund Bell	1520.0
Q7239284	60507	http://www.wikidata.org/entity/Q7239284	PreSonus Studio One	2009.0
Q2030166	50146	http://www.wikidata.org/entity/Q2030166	Wanamaker Organ	1904.0
Q1761195	47123	http://www.wikidata.org/entity/Q1761195	Ibanez Tube Screamer	1979.0
Q557254	46936	http://www.wikidata.org/entity/Q557254	Megpoid	2009.0
Q640004	46657	http://www.wikidata.org/entity/Q640004	Ardour	2005.0
Q557226	46631	http://www.wikidata.org/entity/Q557226	Ankeruhr	1911.0
Q399729	44634	http://www.wikidata.org/entity/Q399729	Kaito	2006.0
Q1333703	42913	http://www.wikidata.org/entity/Q1333703	Reason	1994.0
Q3125071	37767	http://www.wikidata.org/entity/Q3125071	Messiah Stradivarius	1716.0
Q18418876	36765	http://www.wikidata.org/entity/Q18418876	CeVIO Creative Studio	2013.0
Q5559412	34723	http://www.wikidata.org/entity/Q5559412	Gibson Stradivarius	1713.0
Q549649	34407	http://www.wikidata.org/entity/Q549649	Il Cannone Guarnerius	1743.0
Q5598751	33828	http://www.wikidata.org/entity/Q5598751	Great Bell of Dhammazedi	1484.0
Q4483933	33816	http://www.wikidata.org/entity/Q4483933	Filimonovo toys	1600.0
Q859092	33388	http://www.wikidata.org/entity/Q859092	Big Muff	1969.0
Q1780541	33305	http://www.wikidata.org/entity/Q1780541	Soil	1714.0
Q6469990	32855	http://www.wikidata.org/entity/Q6469990	Lady Blunt Stradivarius	1721.0
Q1136329	30803	http://www.wikidata.org/entity/Q1136329	Mingun Bell	1810.0
Q7734699	29080	http://www.wikidata.org/entity/Q7734699	The Fool	1964.0
Q6432221	28467	http://www.wikidata.org/entity/Q6432221	Korg Kronos	2011.0
Q4834807	27577	http://www.wikidata.org/entity/Q4834807	BBC Domesday Project	1984.0
Q3437141	26049	http://www.wikidata.org/entity/Q3437141	Fender Telecaster Thinline	1968.0
Q4850035	25082	http://www.wikidata.org/entity/Q4850035	Balangiga bells	1800.0
Q3549924	24796	http://www.wikidata.org/entity/Q3549924	Uni-Vibe	1968.0
Q7373645	23376	http://www.wikidata.org/entity/Q7373645	Royal Albert Hall Organ	1871.0
Q2086794	21636	http://www.wikidata.org/entity/Q2086794	Digitech Whammy	1989.0
Q3172485	20750	http://www.wikidata.org/entity/Q3172485	Fuzz Face	1966.0
Q10504794	20303	http://www.wikidata.org/entity/Q10504794	Gibson ES-345	1959.0
Q107122122	19590	http://www.wikidata.org/entity/Q107122122	Boss HM-2	1983.0
Q259347	16913	http://www.wikidata.org/entity/Q259347	Csound	1986.0
Q1500106	16413	http://www.wikidata.org/entity/Q1500106	Rosegarden	1993.0
Q2067390	16086	http://www.wikidata.org/entity/Q2067390	Japanese Peace Bell	1952.0
Q1808761	14740	http://www.wikidata.org/entity/Q1808761	Panharmonicon	1804.0
Q2901761	14105	http://www.wikidata.org/entity/Q2901761	Netherlands Carillon	1954.0
Q720614	13863	http://www.wikidata.org/entity/Q720614	Brownie	1956.0
Q5559394	13109	http://www.wikidata.org/entity/Q5559394	Gibson SG Special	1961.0
